row_label_raw,row_label_full,col_0,1/1/2016 VND,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp trong năm VND,Bù trừ với thuế GTGT đầu vào/ số phải thu VND,31/12/2016 VND,numeric__1/1/2016 VND,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào/ số phải thu VND,numeric__31/12/2016 VND
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,186.168.905,-,4.454.714.102,(4.440.418.246),-,200.464.761,186168905.0,,4454714102.0,-4440418246.0,,200464761.0
+ Thuế môn bài,+ Thuế môn bài,+ Thuế môn bài,-,-,8.500.000,(8.500.000),-,-,,,8500000.0,-8500000.0,,
Văn phòng Hà Nội,Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,3.000.000,(3.000.000),-,-,,,3000000.0,-3000000.0,,
Trung tâm XLNT KCN Đệt Mày Phú Nói,Trung tâm XLNT KCN Đệt Mày Phú Nói,Trung tâm XLNT KCN Đệt Mày Phú Nói,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Xí nghiệp Mày Vinatex Quảng Ngãi,Xí nghiệp Mày Vinatex Quảng Ngãi,Xí nghiệp Mày Vinatex Quảng Ngãi,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,500.000,(500.000),-,-,,,500000.0,-500000.0,,
Nhà máy Mày Kiên Giang,Nhà máy Mày Kiên Giang,Nhà máy Mày Kiên Giang,-,-,1.000.000,(1.000.000),-,-,,,1000000.0,-1000000.0,,
+ Lệ phí trước bạ,+ Lệ phí trước bạ,+ Lệ phí trước bạ,-,-,20.683.086,(20.683.086),-,-,,,20683086.0,-20683086.0,,
Xí nghiệp Mày Vinatex Quảng Ngãi,Xí nghiệp Mày Vinatex Quảng Ngãi,Xí nghiệp Mày Vinatex Quảng Ngãi,-,-,20.683.086,(20.683.086),-,-,,,20683086.0,-20683086.0,,
+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,186.168.905,-,4.425.531.016,(4.411.235.160),-,200.464.761,186168905.0,,4425531016.0,-4411235160.0,,200464761.0
Văn phòng,Văn phòng,Văn phòng,155.653.510,-,3.619.447.940,(3.638.996.651),-,136.104.799,155653510.0,,3619447940.0,-3638996651.0,,136104799.0
Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,26.733.517,-,677.304.549,(657.779.046),-,46.259.020,26733517.0,,677304549.0,-657779046.0,,46259020.0
Nhà máy Mày Kiên Giang,Nhà máy Mày Kiên Giang,Nhà máy Mày Kiên Giang,2.964.985,-,(2.964.985),-,-,-,2964985.0,,-2964985.0,,,
Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,816.893,-,77.596.396,(78.413.289),-,-,816893.0,,77596396.0,-78413289.0,,
Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,-,-,52.843.211,(35.479.432),-,17.363.779,,,52843211.0,-35479432.0,,17363779.0
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,748.349,(566.742),-,181.607,,,748349.0,-566742.0,,181607.0
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,555.556,-,-,555.556,,,555556.0,,,555556.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,,,,,,
Tiền thuê đất,Các khoản phải nộp khác > Tiền thuê đất,Tiền thuê đất,-,-,10.696.382.404,(10.696.382.404),-,-,,,10696382404.0,-10696382404.0,,
Văn phòng Hà Nội,Các khoản phải nộp khác > Văn phòng Hà Nội,Văn phòng Hà Nội,-,-,7.237.237.413,(7.237.237.413),-,-,,,7237237413.0,-7237237413.0,,
Văn phòng Hồ Chí Minh,Các khoản phải nộp khác > Văn phòng Hồ Chí Minh,Văn phòng Hồ Chí Minh,-,-,3.459.144.991,(3.459.144.991),-,-,,,3459144991.0,-3459144991.0,,
,,,972.119.820,44.158.471.160,48.859.102.592,(53.511.016.959),(39.819.145.980),659.530.633,972119820.0,44158471160.0,48859102592.0,-53511016959.0,-39819145980.0,659530633.0
