row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,377.859.225.851,395.879.639.587,41.796.451.568,23.980.902.221,839.516.219.227,377859225851.0,395879639587.0,41796451568.0,23980902221.0,839516219227.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.948.095.542,2.129.093.818,318.712.825,4.395.902.185,,1948095542.0,2129093818.0,318712825.0,4395902185.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,133.818.872.820,773.048.097.829,7.579.452.734,10.050.781.356,924.497.204.739,133818872820.0,773048097829.0,7579452734.0,10050781356.0,924497204739.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(1.946.288.379),(660.909.091),(32.949.896),(2.640.147.366),,-1946288379.0,-660909091.0,-32949896.0,-2640147366.0
Điều chuyển tài sản cho Công ty TNHH,Điều chuyển tài sản cho Công ty TNHH,Điều chuyển tài sản cho Công ty TNHH,,,,,,,,,,
Tổng Công ty Đệt May Miền Nam – Vinatex,Điều chuyển tài sản cho Công ty TNHH > Tổng Công ty Đệt May Miền Nam – Vinatex,Tổng Công ty Đệt May Miền Nam – Vinatex,(40.041.302.431),(22.090.603.623),(2.426.425.589),(508.015.820),(65.066.347.463),-40041302431.0,-22090603623.0,-2426425589.0,-508015820.0,-65066347463.0
Số dư cuối năm,Điều chuyển tài sản cho Công ty TNHH > Số dư cuối năm,Số dư cuối năm,471.636.796.240,1.146.838.940.956,48.417.663.440,33.809.430.686,1.700.702.831.322,471636796240.0,1146838940956.0,48417663440.0,33809430686.0,1700702831322.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,163.015.821.841,225.847.967.562,16.140.362.487,10.203.275.294,415.207.427.184,163015821841.0,225847967562.0,16140362487.0,10203275294.0,415207427184.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,19.617.876.484,51.840.086.361,4.860.249.961,3.664.687.864,79.982.900.670,19617876484.0,51840086361.0,4860249961.0,3664687864.0,79982900670.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(1.224.757.191),(660.909.091),(32.949.896),(1.918.616.178),,-1224757191.0,-660909091.0,-32949896.0,-1918616178.0
Điều chuyển tài sản cho Công ty TNHH,Điều chuyển tài sản cho Công ty TNHH,Điều chuyển tài sản cho Công ty TNHH,,,,,,,,,,
Tổng Công ty Đệt May Miền Nam – Vinatex,Điều chuyển tài sản cho Công ty TNHH > Tổng Công ty Đệt May Miền Nam – Vinatex,Tổng Công ty Đệt May Miền Nam – Vinatex,(1.265.147.425),(1.050.984.115),(114.496.640),(34.964.500),(2.465.592.680),-1265147425.0,-1050984115.0,-114496640.0,-34964500.0,-2465592680.0
Số dư cuối năm,Điều chuyển tài sản cho Công ty TNHH > Số dư cuối năm,Số dư cuối năm,181.368.550.900,275.412.312.617,20.225.206.717,13.800.048.762,490.806.118.996,181368550900.0,275412312617.0,20225206717.0,13800048762.0,490806118996.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,214.843.404.010,170.031.672.025,25.656.089.081,13.777.626.927,424.308.792.043,214843404010.0,170031672025.0,25656089081.0,13777626927.0,424308792043.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,290.268.245.340,871.426.628.339,28.192.456.723,20.009.381.924,1.209.896.712.326,290268245340.0,871426628339.0,28192456723.0,20009381924.0,1209896712326.0
