row_label_raw,row_label_full,col_0,1/1/2016 VND,Thuế GTGT đầu ra VND,Số phát sinh trong năm VND,Số đã nộp trong năm VND,Bù trừ với thuế GTGT đầu vào/ số phải thu VND,31/12/2016 VND,numeric__1/1/2016 VND,numeric__Thuế GTGT đầu ra VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào/ số phải thu VND,numeric__31/12/2016 VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,,,
Thuế GTGT hàng bán nội địa,Thuế > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,447.293.147,44.158.471.160,-,(4.338.512.803),(39.819.145.980),448.105.524,447293147.0,44158471160.0,,-4338512803.0,-39819145980.0,448105524.0
Văn phòng,Thuế > Văn phòng,Văn phòng,-,23.777.665.472,-,(1.909.090.909),(21.868.574.563),-,,23777665472.0,,-1909090909.0,-21868574563.0,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,6.139.337.254,-,-,(6.139.337.254),-,,6139337254.0,,,-6139337254.0,
Xí nghiệp May Vinatex Quảng Ngãi,Thuế > Xí nghiệp May Vinatex Quảng Ngãi,Xí nghiệp May Vinatex Quảng Ngãi,129.512.157,2.875.873.032,-,(1.932.246.059),(625.033.606),448.105.524,129512157.0,2875873032.0,,-1932246059.0,-625033606.0,448105524.0
Nhà máy May Kiên Giang,Thuế > Nhà máy May Kiên Giang,Nhà máy May Kiên Giang,317.780.990,923.311.953,-,(497.175.835),(743.917.108),-,317780990.0,923311953.0,,-497175835.0,-743917108.0,
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,895.418.630,-,-,(895.418.630),-,,895418630.0,,,-895418630.0,
Nhà máy Sản xuất Vải Yarn Dyed,Thuế > Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,-,3.511.776.347,-,-,(3.511.776.347),-,,3511776347.0,,,-3511776347.0,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,2.904.279.205,-,-,(2.904.279.205),-,,2904279205.0,,,-2904279205.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,3.130.809.267,-,-,(3.130.809.267),-,,3130809267.0,,,-3130809267.0,
Thuế GTGT hàng nhập khẩu,Thuế > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,-,32.207.452.454,(32.207.452.454),-,-,,,32207452454.0,-32207452454.0,,
Văn phòng,Thuế > Văn phòng,Văn phòng,-,-,31.641.518.701,(31.641.518.701),-,-,,,31641518701.0,-31641518701.0,,
Chi nhánh văn phòng Hồ Chí Minh,Thuế > Chi nhánh văn phòng Hồ Chí Minh,Chi nhánh văn phòng Hồ Chí Minh,-,-,88.700.268,(88.700.268),-,-,,,88700268.0,-88700268.0,,
Nhà máy Sợi Phú Hưng,Thuế > Nhà máy Sợi Phú Hưng,Nhà máy Sợi Phú Hưng,-,-,69.752.289,(69.752.289),-,-,,,69752289.0,-69752289.0,,
Nhà máy Sợi Nam Định,Thuế > Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,-,-,8.501.407,(8.501.407),-,-,,,8501407.0,-8501407.0,,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,-,13.732.163,(13.732.163),-,-,,,13732163.0,-13732163.0,,
Nhà máy Sản xuất Vải Yarn Dyed,Thuế > Nhà máy Sản xuất Vải Yarn Dyed,Nhà máy Sản xuất Vải Yarn Dyed,-,-,385.247.626,(385.247.626),-,-,,,385247626.0,-385247626.0,,
Thuế nhà thầu,Thuế > Thuế nhà thầu,Thuế nhà thầu,338.657.768,-,1.500.553.632,(1.828.251.052),-,10.960.348,338657768.0,,1500553632.0,-1828251052.0,,10960348.0
Văn phòng,Thuế > Văn phòng,Văn phòng,338.657.768,-,1.500.553.632,(1.828.251.052),-,10.960.348,338657768.0,,1500553632.0,-1828251052.0,,10960348.0
