row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2016VND,2015VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Nhà nước Một thành viên Đệt 8-3,Công ty TNHH Nhà nước Một thành viên Đệt 8-3,Công ty TNHH Nhà nước Một thành viên Đệt 8-3,Công ty TNHH Nhà nước Một thành viên Đệt 8-3,Công ty TNHH Nhà nước Một thành viên Đệt 8-3,,
Nhận hoàn trả gốc vay,Công ty TNHH Nhà nước Một thành viên Đệt 8-3 > Nhận hoàn trả gốc vay,Nhận hoàn trả gốc vay,-,27.677.000.000,,27677000000.0
Khoản cho vay,Công ty TNHH Nhà nước Một thành viên Đệt 8-3 > Khoản cho vay,Khoản cho vay,-,27.677.000.000,,27677000000.0
Chuyển khoản phải thu ngắn hạn khác thành khoản cho vay,Công ty TNHH Nhà nước Một thành viên Đệt 8-3 > Chuyển khoản phải thu ngắn hạn khác thành khoản cho vay,Chuyển khoản phải thu ngắn hạn khác thành khoản cho vay,42.581.377.888,-,42581377888.0,
Cung cấp dịch vụ,Công ty TNHH Nhà nước Một thành viên Đệt 8-3 > Cung cấp dịch vụ,Cung cấp dịch vụ,65.268.000,587.220.500,65268000.0,587220500.0
Đầu tư góp vốn,Công ty TNHH Nhà nước Một thành viên Đệt 8-3 > Đầu tư góp vốn,Đầu tư góp vốn,-,20.000.000.000,,20000000000.0
Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Công ty TNHH Nhà nước Một thành viên Đệt 8-3 > Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,74.541.769.608,-,74541769608.0,
Chuyển khoản cho vay ủy thác với Công ty Tài chính,Chuyển khoản cho vay ủy thác với Công ty Tài chính,Chuyển khoản cho vay ủy thác với Công ty Tài chính,,,,
TNHH Một thành viên Ngân hàng TMCP Hàng Hải Việt Nam thành khoản cho vay Công ty TNHH,TNHH Một thành viên Ngân hàng TMCP Hàng Hải Việt Nam thành khoản cho vay Công ty TNHH,TNHH Một thành viên Ngân hàng TMCP Hàng Hải Việt Nam thành khoản cho vay Công ty TNHH,,,,
Nhà nước Một thành viên Đệt 8-3,TNHH Một thành viên Ngân hàng TMCP Hàng Hải Việt Nam thành khoản cho vay Công ty TNHH > Nhà nước Một thành viên Đệt 8-3,Nhà nước Một thành viên Đệt 8-3,36.888.460.000,-,36888460000.0,
Thu nhập lãi vay,TNHH Một thành viên Ngân hàng TMCP Hàng Hải Việt Nam thành khoản cho vay Công ty TNHH > Thu nhập lãi vay,Thu nhập lãi vay,1.836.374.232,180.669.306,1836374232.0,180669306.0
Tổng Công ty Cổ phần Đệt May Hòa Thọ,Tổng Công ty Cổ phần Đệt May Hòa Thọ,Tổng Công ty Cổ phần Đệt May Hòa Thọ,Tổng Công ty Cổ phần Đệt May Hòa Thọ,Tổng Công ty Cổ phần Đệt May Hòa Thọ,,
Cổ tức,Tổng Công ty Cổ phần Đệt May Hòa Thọ > Cổ tức,Cổ tức,26.856.205.000,32.227.446.000,26856205000.0,32227446000.0
Bán hàng hóa,Tổng Công ty Cổ phần Đệt May Hòa Thọ > Bán hàng hóa,Bán hàng hóa,16.977.901.310,3.711.807.221,16977901310.0,3711807221.0
Cung cấp dịch vụ,Tổng Công ty Cổ phần Đệt May Hòa Thọ > Cung cấp dịch vụ,Cung cấp dịch vụ,751.886.123,466.127.272,751886123.0,466127272.0
Mua hàng hóa,Tổng Công ty Cổ phần Đệt May Hòa Thọ > Mua hàng hóa,Mua hàng hóa,-,73.862.727,,73862727.0
Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Tổng Công ty Cổ phần Đệt May Hòa Thọ > Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,209.863.483.956,-,209863483956.0,
Thu nhập lãi vay,Tổng Công ty Cổ phần Đệt May Hòa Thọ > Thu nhập lãi vay,Thu nhập lãi vay,558.648.576,-,558648576.0,
Tổng Công ty Cổ phần Phong Phú,Tổng Công ty Cổ phần Phong Phú,Tổng Công ty Cổ phần Phong Phú,Tổng Công ty Cổ phần Phong Phú,Tổng Công ty Cổ phần Phong Phú,,
Cung cấp dịch vụ,Tổng Công ty Cổ phần Phong Phú > Cung cấp dịch vụ,Cung cấp dịch vụ,-,282.704.545,,282704545.0
Doanh thu cho thuê nhà,Tổng Công ty Cổ phần Phong Phú > Doanh thu cho thuê nhà,Doanh thu cho thuê nhà,3.356.050.329,2.754.415.928,3356050329.0,2754415928.0
Cổ tức,Tổng Công ty Cổ phần Phong Phú > Cổ tức,Cổ tức,67.335.832.800,59.854.073.600,67335832800.0,59854073600.0
Mua hàng hóa và dịch vụ,Tổng Công ty Cổ phần Phong Phú > Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,287.411.080,448.143.110,287411080.0,448143110.0
Thu nhập tiền lãi,Tổng Công ty Cổ phần Phong Phú > Thu nhập tiền lãi,Thu nhập tiền lãi,1.936.262.805,875.243.057,1936262805.0,875243057.0
Khoản cho vay,Tổng Công ty Cổ phần Phong Phú > Khoản cho vay,Khoản cho vay,-,17.500.000.000,,17500000000.0
Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Tổng Công ty Cổ phần Phong Phú > Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,521.421.854.424,-,521421854424.0,
Nhận hoàn trả gốc vay,Tổng Công ty Cổ phần Phong Phú > Nhận hoàn trả gốc vay,Nhận hoàn trả gốc vay,11.000.000.000,-,11000000000.0,
Tổng Công ty Cổ phần Đệt May Hà Nội,Tổng Công ty Cổ phần Đệt May Hà Nội,Tổng Công ty Cổ phần Đệt May Hà Nội,Tổng Công ty Cổ phần Đệt May Hà Nội,Tổng Công ty Cổ phần Đệt May Hà Nội,,
Cổ tức,Tổng Công ty Cổ phần Đệt May Hà Nội > Cổ tức,Cổ tức,8.851.950.000,11.802.600.000,8851950000.0,11802600000.0
Thu nhập tiền lãi,Tổng Công ty Cổ phần Đệt May Hà Nội > Thu nhập tiền lãi,Thu nhập tiền lãi,560.661.141,-,560661141.0,
Cung cấp dịch vụ,Tổng Công ty Cổ phần Đệt May Hà Nội > Cung cấp dịch vụ,Cung cấp dịch vụ,44.000.000,73.200.000,44000000.0,73200000.0
Mua hàng hóa và dịch vụ,Tổng Công ty Cổ phần Đệt May Hà Nội > Mua hàng hóa và dịch vụ,Mua hàng hóa và dịch vụ,2.580.969.417,-,2580969417.0,
Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Tổng Công ty Cổ phần Đệt May Hà Nội > Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,Cho vay lại nguồn vốn vay Ngân hàng Phát triển Châu Á,213.132.524.928,-,213132524928.0,
