row_label_raw,row_label_full,Nhà máy Sợi Nam Định,31/12/2016VND > 21.985.386.962,1/1/2016VND > 168.030.012.763,numeric__31/12/2016VND > 21.985.386.962,numeric__1/1/2016VND > 168.030.012.763
Nhà máy Sản xuất vải Yarn Dyed,Nhà máy Sản xuất vải Yarn Dyed,Nhà máy Sản xuất vải Yarn Dyed,13.410.122.957,262.300.252.185,13410122957.0,262300252185.0
Nhà máy May Vinatex Kiên Giang,Nhà máy May Vinatex Kiên Giang,Nhà máy May Vinatex Kiên Giang,-,97.912.389.378,,97912389378.0
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,20.766.833.497,316.442.844.422,20766833497.0,316442844422.0
Nhà máy May Cần Thơ,Nhà máy May Cần Thơ,Nhà máy May Cần Thơ,1.899.975.723,16.766.700.616,1899975723.0,16766700616.0
Nhà máy May Bạc Liêu,Nhà máy May Bạc Liêu,Nhà máy May Bạc Liêu,14.048.857.262,2.689.326.746,14048857262.0,2689326746.0
Nhà máy May Quảng Bình,Nhà máy May Quảng Bình,Nhà máy May Quảng Bình,5.557.770.050,648.291.111,5557770050.0,648291111.0
Nhà máy May Tuyên Quang,Nhà máy May Tuyên Quang,Nhà máy May Tuyên Quang,29.215.075.863,623.875.946,29215075863.0,623875946.0
Nhà máy Liên hợp Sợi-Dệt-Nhuộm-May Quảng Nam,Nhà máy Liên hợp Sợi-Dệt-Nhuộm-May Quảng Nam,Nhà máy Liên hợp Sợi-Dệt-Nhuộm-May Quảng Nam,6.335.837.250,-,6335837250.0,
Các công trình khác,Các công trình khác,Các công trình khác,11.926.070.935,6.144.967.773,11926070935.0,6144967773.0
,,,125.145.930.499,871.558.660.940,125145930499.0,871558660940.0
