row_label_raw,row_label_full,col_0,Chi phí đấttrả trướcVND,Chi phí thuênhà xưởngtrả trướcVND,Công cụvà dụng cụVND,Lợi thếkinh doanhVND,Chênh lệch tỷgiá hối đoáiVND,KhácVND,TổngVND,numeric__Chi phí đấttrả trướcVND,numeric__Chi phí thuênhà xưởngtrả trướcVND,numeric__Công cụvà dụng cụVND,numeric__Lợi thếkinh doanhVND,numeric__Chênh lệch tỷgiá hối đoáiVND,numeric__KhácVND,numeric__TổngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,52.470.661.466,-,6.838.849.249,3.745.971.916,-,3.931.249.781,66.986.732.412,52470661466.0,,6838849249.0,3745971916.0,,3931249781.0,66986732412.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,16.240.000.000,42.667.485.952,-,15.146.064.363,5.321.172.880,79.374.723.195,,16240000000.0,42667485952.0,,15146064363.0,5321172880.0,79374723195.0
Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,Chuyển từ xây dựng cơ bảnđở dang,5.783.852.728,18.581.818.180,3.563.868.070,-,-,8.151.429.444,36.080.968.422,5783852728.0,18581818180.0,3563868070.0,,,8151429444.0,36080968422.0
Điều chuyển tài sản cho Côngty TNHH Tổng Công ty ĐệtMay Miền Nam – Vinatex,Điều chuyển tài sản cho Côngty TNHH Tổng Công ty ĐệtMay Miền Nam – Vinatex,Điều chuyển tài sản cho Côngty TNHH Tổng Công ty ĐệtMay Miền Nam – Vinatex,(5.293.056.950),-,(28.094.458.789),-,-,(1.342.783.041),(34.730.298.780),-5293056950.0,,-28094458789.0,,,-1342783041.0,-34730298780.0
Thanh lý,Thanh lý,Thanh lý,(17.071.793.327),-,-,-,-,-,(17.071.793.327),-17071793327.0,,,,,,-17071793327.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(2.297.787.420),(4.894.545.461),(10.308.962.557),(1.872.985.956),-,(7.387.004.728),(26.761.286.122),-2297787420.0,-4894545461.0,-10308962557.0,-1872985956.0,,-7387004728.0,-26761286122.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,33.591.876.497,29.927.272.719,14.666.781.925,1.872.985.960,15.146.064.363,8.674.064.336,103.879.045.800,33591876497.0,29927272719.0,14666781925.0,1872985960.0,15146064363.0,8674064336.0,103879045800.0
