row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2016VND,1/1/2016VND,,
Phải trả người bán là các công ty liên quan,Phải trả người bán là các công ty liên quan,Phải trả người bán là các công ty liên quan,Phải trả người bán là các công ty liên quan,Phải trả người bán là các công ty liên quan,,
Tổng Công ty Cổ phần Dệt May Nam Định,Phải trả người bán là các công ty liên quan > Tổng Công ty Cổ phần Dệt May Nam Định,Tổng Công ty Cổ phần Dệt May Nam Định,780.100.018,3.469.409.520,780100018.0,3469409520.0
Tổng Công ty Đức Giang – CTCP,Phải trả người bán là các công ty liên quan > Tổng Công ty Đức Giang – CTCP,Tổng Công ty Đức Giang – CTCP,4.179.091.590,1.687.243.711,4179091590.0,1687243711.0
Công ty Cổ phần Phát triển Hạ tầng Dệt May Phố Nói,Phải trả người bán là các công ty liên quan > Công ty Cổ phần Phát triển Hạ tầng Dệt May Phố Nói,Công ty Cổ phần Phát triển Hạ tầng Dệt May Phố Nói,1.949.447.972,1.845.156.022,1949447972.0,1845156022.0
Tổng Công ty May 10 – Công ty Cổ phần,Phải trả người bán là các công ty liên quan > Tổng Công ty May 10 – Công ty Cổ phần,Tổng Công ty May 10 – Công ty Cổ phần,1.150.075.051,2.823.799.815,1150075051.0,2823799815.0
Công ty TNHH Một thành viên Dệt Kim Đông Phương,Phải trả người bán là các công ty liên quan > Công ty TNHH Một thành viên Dệt Kim Đông Phương,Công ty TNHH Một thành viên Dệt Kim Đông Phương,5.829.960.836,2.401.517.216,5829960836.0,2401517216.0
Các công ty liên quan khác,Phải trả người bán là các công ty liên quan > Các công ty liên quan khác,Các công ty liên quan khác,79.485.841,142.456.250,79485841.0,142456250.0
Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,,
Nataka Corporate Private Limited,Phải trả người bán khác > Nataka Corporate Private Limited,Nataka Corporate Private Limited,41.374.225.200,13.694.289.700,41374225200.0,13694289700.0
Công ty Cổ phần Xây dựng Byd Việt Nam,Phải trả người bán khác > Công ty Cổ phần Xây dựng Byd Việt Nam,Công ty Cổ phần Xây dựng Byd Việt Nam,19.023.571.173,21.922.431.000,19023571173.0,21922431000.0
Công ty TNHH Bentex Trading,Phải trả người bán khác > Công ty TNHH Bentex Trading,Công ty TNHH Bentex Trading,125.252.256,19.954.394.026,125252256.0,19954394026.0
Công ty Cổ phần Kinh doanh Nhà Thừa Thiên Huế,Phải trả người bán khác > Công ty Cổ phần Kinh doanh Nhà Thừa Thiên Huế,Công ty Cổ phần Kinh doanh Nhà Thừa Thiên Huế,2.243.452.000,1.709.860.364,2243452000.0,1709860364.0
"Shanghai Weishi Machinery Co., Ltd.","Phải trả người bán khác > Shanghai Weishi Machinery Co., Ltd.","Shanghai Weishi Machinery Co., Ltd.",2.098.626.000,-,2098626000.0,
Truetzschler GmbH & Co. KG,Phải trả người bán khác > Truetzschler GmbH & Co. KG,Truetzschler GmbH & Co. KG,172.659.480,28.459.042.634,172659480.0,28459042634.0
"Tung Shing Sewing Machine Co., Ltd","Phải trả người bán khác > Tung Shing Sewing Machine Co., Ltd","Tung Shing Sewing Machine Co., Ltd",28.587.688.800,-,28587688800.0,
Công ty Cổ phần May Tiền Tiến,Phải trả người bán khác > Công ty Cổ phần May Tiền Tiến,Công ty Cổ phần May Tiền Tiến,18.758.547.251,6.007.707.463,18758547251.0,6007707463.0
Tổng Công ty Cổ Phần Sông Hồng,Phải trả người bán khác > Tổng Công ty Cổ Phần Sông Hồng,Tổng Công ty Cổ Phần Sông Hồng,4.016.714.853,1.752.226.455,4016714853.0,1752226455.0
Các nhà cung cấp khác,Phải trả người bán khác > Các nhà cung cấp khác,Các nhà cung cấp khác,34.259.648.899,33.576.092.922,34259648899.0,33576092922.0
,,,164.628.547.220,139.445.627.098,164628547220.0,139445627098.0
