row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Cổ phiếu quỹ Triệu VND,Quỹ đầu tư phát triển Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Vốn đầu tư xây dựng cơ bản Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Quỹ đầu tư phát triển Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Vốn đầu tư xây dựng cơ bản Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,11.750.000,400.000,(270.730),3.397,529.317,139.527,608,1.149.696,13.701.815,11750000.0,400000.0,-270730.0,3397.0,529317.0,139527.0,608.0,1149696.0,13701815.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,864.120,864.120,,,,,,,,864120.0,864120.0
Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,Mua cổ phiếu quỹ trong năm,-,-,(769.925),-,-,-,-,-,(769.925),,,-769925.0,,,,,,-769925.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,12.541,6.270,-,(18.811),-,,,,,12541.0,6270.0,,-18811.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(152),-,-,-,(152),,,,,-152.0,,,,-152.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,11.750.000,400.000,(1.040.655),3.397,541.706,145.797,608,1.995.005,13.795.858,11750000.0,400000.0,-1040655.0,3397.0,541706.0,145797.0,608.0,1995005.0,13795858.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,1.036.278,1.036.278,,,,,,,,1036278.0,1036278.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,-,-,86.412,43.206,-,(129.618),-,,,,,86412.0,43206.0,,-129618.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(193),-,-,-,(193),,,,,-193.0,,,,-193.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,11.750.000,400.000,(1.040.655),3.397,627.925,189.003,608,2.901.665,14.831.943,11750000.0,400000.0,-1040655.0,3397.0,627925.0,189003.0,608.0,2901665.0,14831943.0
