row_label_raw,row_label_full,Tên công ty,Giấy chứng nhận Đăng ký Doanh nghiệp,Lĩnh vực hoạt động,Tỷ lệ sở hữu của Ngân hàng,numeric__Giấy chứng nhận Đăng ký Doanh nghiệp,numeric__Lĩnh vực hoạt động,numeric__Tỷ lệ sở hữu của Ngân hàng
Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng TMCP Hàng Hải Việt Nam (“MSB AMC”),Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng TMCP Hàng Hải Việt Nam (“MSB AMC”),Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng TMCP Hàng Hải Việt Nam (“MSB AMC”),0200124891-027 cấp lần đầu ngày 12 tháng 12 năm 2008 và thay đổi lần thứ 10 ngày 27 tháng 5 năm 2019 do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp,Quản lý nợ và khai thác tài sản,100%,,,1.0
Công ty Tài chính TNHH MTV Cộng đồng (“FCCOM”),Công ty Tài chính TNHH MTV Cộng đồng (“FCCOM”),Công ty Tài chính TNHH MTV Cộng đồng (“FCCOM”),0301516782 cấp lần đầu ngày 1 tháng 12 năm 2010 và thay đổi lần 4 ngày 6 tháng 8 năm 2018 do Sở Kế hoạch và Đầu tư Thành phố Hà Nội cấp,Hoạt động dịch vụ tài chính khác,100%,,,1.0
