row_label_raw,row_label_full,VND tăng giá 1%so với USD và EUR,VND tăng giá 1%so với USD và EUR_1,numeric__VND tăng giá 1%so với USD và EUR_1
Triệu VND,Triệu VND,Triệu VND,Triệu VND,
(17.606)37,(17.606)37,(17.606)37,17.606(37),
(17.569),(17.606)37 > (17.569),(17.569),17.569,17569.0
