row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc Triệu VND,Máy móc thiết bị Triệu VND,Phương tiện vận tải Triệu VND,Thiết bị dụng cụ quản lý Triệu VND,Các tài sản cố định hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận tải Triệu VND,numeric__Thiết bị dụng cụ quản lý Triệu VND,numeric__Các tài sản cố định hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,30.930,408.266,86.043,89.990,872,616.101,30930.0,408266.0,86043.0,89990.0,872.0,616101.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,42,76.626,8.921,1.787,-,87.376,42.0,76626.0,8921.0,1787.0,,87376.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(325),(565),(482),(843),-,(2.215),-325.0,-565.0,-482.0,-843.0,,-2215.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,-,(59),59,-,,,,-59.0,59.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,30.647,484.327,94.482,90.875,931,701.262,30647.0,484327.0,94482.0,90875.0,931.0,701262.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,13.262,337.108,61.254,79.326,820,491.770,13262.0,337108.0,61254.0,79326.0,820.0,491770.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,572,37.713,8.203,4.577,20,51.085,572.0,37713.0,8203.0,4577.0,20.0,51085.0
Thanh lý trong năm,Giá trị hao mòn lũy kế > Thanh lý trong năm,Thanh lý trong năm,(325),(364),(482),(825),-,(1.996),-325.0,-364.0,-482.0,-825.0,,-1996.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,-,-,(50),50,-,,,,-50.0,50.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,13.509,374.457,68.975,83.028,890,540.859,13509.0,374457.0,68975.0,83028.0,890.0,540859.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,17.668,71.158,24.789,10.664,52,124.331,17668.0,71158.0,24789.0,10664.0,52.0,124331.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,17.138,109.870,25.507,7.847,41,160.403,17138.0,109870.0,25507.0,7847.0,41.0,160403.0
