row_label_raw,row_label_full,col_0,31/12/2019Triệu VND,31/12/2018Triệu VNDHÀ,numeric__31/12/2019Triệu VND,numeric__31/12/2018Triệu VNDHÀ
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,
Lãi phải trả cho tiền gửi,"Các khoản lãi, phí phải trả > Lãi phải trả cho tiền gửi",Lãi phải trả cho tiền gửi,483.277,314.047,483277.0,314047.0
Lãi phải trả cho tiền gửi tiết kiệm,"Các khoản lãi, phí phải trả > Lãi phải trả cho tiền gửi tiết kiệm",Lãi phải trả cho tiền gửi tiết kiệm,858.639,610.128,858639.0,610128.0
Lãi phải trả cho các giấy tờ có giá,"Các khoản lãi, phí phải trả > Lãi phải trả cho các giấy tờ có giá",Lãi phải trả cho các giấy tờ có giá,477.296,233.553,477296.0,233553.0
Lãi phải trả cho tiền vay,"Các khoản lãi, phí phải trả > Lãi phải trả cho tiền vay",Lãi phải trả cho tiền vay,119.875,86.837,119875.0,86837.0
Lãi phải trả cho các công cụ tài chính phải sinh,"Các khoản lãi, phí phải trả > Lãi phải trả cho các công cụ tài chính phải sinh",Lãi phải trả cho các công cụ tài chính phải sinh,177.260,73.743,177260.0,73743.0
,,,2.116.347,1.318.308,2116347.0,1318308.0
Các khoản phải trả và nợ khác,Các khoản phải trả và nợ khác,Các khoản phải trả và nợ khác,Các khoản phải trả và nợ khác,Các khoản phải trả và nợ khác,,
Thuế phải nộp cho Ngân sách Nhà nước (Thuyết minh 35),Các khoản phải trả và nợ khác > Thuế phải nộp cho Ngân sách Nhà nước (Thuyết minh 35),Thuế phải nộp cho Ngân sách Nhà nước (Thuyết minh 35),69.419,168.338,69419.0,168338.0
Cổ tức phải trả,Các khoản phải trả và nợ khác > Cổ tức phải trả,Cổ tức phải trả,4.221,4.236,4221.0,4236.0
Phải trả cán bộ công nhân viên,Các khoản phải trả và nợ khác > Phải trả cán bộ công nhân viên,Phải trả cán bộ công nhân viên,30.721,141.223,30721.0,141223.0
"Quỹ khen thưởng, phúc lợi và quỹ thưởng Ban Điều hành","Các khoản phải trả và nợ khác > Quỹ khen thưởng, phúc lợi và quỹ thưởng Ban Điều hành","Quỹ khen thưởng, phúc lợi và quỹ thưởng Ban Điều hành",39.349,42.834,39349.0,42834.0
Các khoản chờ thanh toán,Các khoản phải trả và nợ khác > Các khoản chờ thanh toán,Các khoản chờ thanh toán,1.567.947,1.648.825,1567947.0,1648825.0
Doanh thu chờ phân bổ (*),Các khoản phải trả và nợ khác > Doanh thu chờ phân bổ (*),Doanh thu chờ phân bổ (*),645.730,358.165,645730.0,358165.0
Cổ tức nhận hộ,Các khoản phải trả và nợ khác > Cổ tức nhận hộ,Cổ tức nhận hộ,-,76.944,,76944.0
Các khoản phải trả khác,Các khoản phải trả và nợ khác > Các khoản phải trả khác,Các khoản phải trả khác,710.481,694.254,710481.0,694254.0
,,,3.067.868,3.134.819,3067868.0,3134819.0
,,,5.184.215,4.453.127,5184215.0,4453127.0
