row_label_raw,row_label_full,Tài khoản tiền gửi thanh toán tại NHNNVN,31/12/2019Triệu VND > Tài khoản tiền gửi thanh toán tại NHNNVN,31/12/2018Triệu VND > Tài khoản tiền gửi thanh toán tại NHNNVN,numeric__31/12/2019Triệu VND > Tài khoản tiền gửi thanh toán tại NHNNVN,numeric__31/12/2018Triệu VND > Tài khoản tiền gửi thanh toán tại NHNNVN
Bằng VND,Bằng VND,Bằng VND,2.864.822,1.638.792,2864822.0,1638792.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,1.206.094,767.123,1206094.0,767123.0
,,,4.070.916,2.405.915,4070916.0,2405915.0
