row_label_raw,row_label_full,USD,EUR,Tiền tệ khác và vàng,Tổng,numeric__EUR,numeric__Tiền tệ khác và vàng,numeric__Tổng
536.553,536.553,536.553,282.231,295.597,1.114.381,282231.0,295597.0,1114381.0
767.123,767.123,767.123,-,-,767.123,,,767123.0
2.730.015,2.730.015,2.730.015,42.268,172.223,2.944.506,42268.0,172223.0,2944506.0
7.495.951,7.495.951,7.495.951,-,-,7.495.951,,,7495951.0
3.148.491,3.148.491,3.148.491,-,-,3.148.491,,,3148491.0
32.998,32.998,32.998,-,-,32.998,,,32998.0
1.259.555,1.259.555,1.259.555,80.704,24.775,1.365.034,80704.0,24775.0,1365034.0
15.970.686,15.970.686,15.970.686,405.203,492.595,16.868.484,405203.0,492595.0,16868484.0
27.315,27.315,27.315,-,-,27.315,,,27315.0
8.313.930,8.313.930,8.313.930,93.233,24.734,8.431.897,93233.0,24734.0,8431897.0
3.804.250,3.804.250,3.804.250,137.297,44.876,3.986.423,137297.0,44876.0,3986423.0
-,-,-,177.559,485.136,662.695,177559.0,485136.0,662695.0
1.624.414,1.624.414,1.624.414,1.788,8.522,1.634.724,1788.0,8522.0,1634724.0
13.769.909,13.769.909,13.769.909,409.877,563.268,14.743.054,409877.0,563268.0,14743054.0
2.200.777,2.200.777,2.200.777,(4.674),(70.673),2.125.430,-4674.0,-70673.0,2125430.0
