row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,Tài sản cố địnhvô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyềnsử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__Tài sản cố địnhvô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,52.773,348.156,1.832,402.761,52773.0,348156.0,1832.0,402761.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,48.950,1.299,50.249,,48950.0,1299.0,50249.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(17.832),-,-,(17.832),-17832.0,,,-17832.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,34.941,397.106,3.131,435.178,34941.0,397106.0,3131.0,435178.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,236.893,1.499,238.392,,236893.0,1499.0,238392.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,47.302,525,47.827,,47302.0,525.0,47827.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,284.195,2.024,286.219,,284195.0,2024.0,286219.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,52.773,111.263,333,164.369,52773.0,111263.0,333.0,164369.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,34.941,112.911,1.107,148.959,34941.0,112911.0,1107.0,148959.0
