row_label_raw,row_label_full,col_0,Doanh thu/(Chi phí),Doanh thu/(Chi phí)_1,numeric__Doanh thu/(Chi phí),numeric__Doanh thu/(Chi phí)_1
,,,2019Triệu VND,2018Triệu VND,,
MSB AMC - Công ty con,MSB AMC - Công ty con,MSB AMC - Công ty con,MSB AMC - Công ty con,MSB AMC - Công ty con,,
▪ Chi phí lãi tiền gửi,MSB AMC - Công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(819),(26),-819.0,-26.0
▪ Chi phí thuê nhà và hoạt động,MSB AMC - Công ty con > ▪ Chi phí thuê nhà và hoạt động,▪ Chi phí thuê nhà và hoạt động,(28.497),(28.329),-28497.0,-28329.0
▪ Chi phí nghiệp vụ ủy thác và đại lý,MSB AMC - Công ty con > ▪ Chi phí nghiệp vụ ủy thác và đại lý,▪ Chi phí nghiệp vụ ủy thác và đại lý,-,(2.816),,-2816.0
▪ Thu nhập khác,MSB AMC - Công ty con > ▪ Thu nhập khác,▪ Thu nhập khác,45.450,128.340,45450.0,128340.0
FCCOM - Công ty con,FCCOM - Công ty con,FCCOM - Công ty con,FCCOM - Công ty con,FCCOM - Công ty con,,
▪ Chi phí lãi tiền gửi,FCCOM - Công ty con > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(11.646),(16.471),-11646.0,-16471.0
Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn,,
▪ Chi phí lãi tiền gửi,Tổng công ty Bưu chính viễn thông Việt Nam (“VNPT”) -Cổ đông lớn > ▪ Chi phí lãi tiền gửi,▪ Chi phí lãi tiền gửi,(83),(100),-83.0,-100.0
"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này","Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này",,
▪ Thù lao/lương,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Thù lao/lương",▪ Thù lao/lương,(91.343),(74.880),-91343.0,-74880.0
▪ Chi phí lãi tiền gửi,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Chi phí lãi tiền gửi",▪ Chi phí lãi tiền gửi,(2.623),(2.405),-2623.0,-2405.0
▪ Thu nhập lãi tiền vay,"Thành viên Hội đồng Quản trị, Ban Điều hành, Ban Kiểm soátvà những người có liên quan của các thành viên này > ▪ Thu nhập lãi tiền vay",▪ Thu nhập lãi tiền vay,791,994,791.0,994.0
