row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018(Triệu VND),Quá hạn > Trên 3 tháng,Quá hạn > Đến 3 tháng,Quá hạn > Đến 1 tháng,Trong hạn > Từ trên 1 tháng đến 3 tháng,Trong hạn > Từ trên 3 tháng đến 12 tháng,Trong hạn > Từ trên 1 năm đến 5 năm,Trong hạn > Trên 5 năm,Trong hạn > Tổng,numeric__Quá hạn > Trên 3 tháng,numeric__Quá hạn > Đến 3 tháng,numeric__Quá hạn > Đến 1 tháng,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng,numeric__Trong hạn > Từ trên 1 năm đến 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Trong hạn > Tổng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tải sản > Tiền mặt, vàng","Tiền mặt, vàng",-,-,2.337.869,-,-,-,-,2.337.869,,,2337869.0,,,,,2337869.0
Tiền gửi tại NHNNVN,Tải sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.405.915,-,-,-,-,2.405.915,,,2405915.0,,,,,2405915.0
Tiền gửi và cho vay các TCTD khác - gộp,Tải sản > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,226.000,15.331.771,4.243.012,3.000.000,10.250,-,22.811.033,,226000.0,15331771.0,4243012.0,3000000.0,10250.0,,22811033.0
Chứng khoán kinh doanh - gộp,Tải sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,127.927,-,-,-,-,127.927,,,127927.0,,,,,127927.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,1.167.195,1.455.939,3.337.178,9.220.127,14.082.989,12.147.598,7.297.521,48.708.547,1167195.0,1455939.0,3337178.0,9220127.0,14082989.0,12147598.0,7297521.0,48708547.0
Hoạt động mua nợ - gộp,Tải sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,678,42.961,11,32,110,271,299,44.362,678.0,42961.0,11.0,32.0,110.0,271.0,299.0,44362.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,1.451.935,1.301.000,2.057.787,14.908.887,21.935.935,41.655.544,,,1451935.0,1301000.0,2057787.0,14908887.0,21935935.0,41655544.0
"Góp vốn, đầu tư dài hạn - gộp","Tải sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,798.312,798.312,,,,,,,798312.0,798312.0
Tài sản cố định - thuần,Tải sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,-,-,-,-,-,309.362,309.362,,,,,,,309362.0,309362.0
Tài sản Có khác - gộp,Tải sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.959.411,742.373,111.047,2.436.881,960.475,7.645.357,8.051.287,21.906.831,1959411.0,742373.0,111047.0,2436881.0,960475.0,7645357.0,8051287.0,21906831.0
,,,3.127.284,2.467.273,25.103.653,17.201.052,20.101.361,34.712.363,38.392.716,141.105.702,3127284.0,2467273.0,25103653.0,17201052.0,20101361.0,34712363.0,38392716.0,141105702.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,9.681.073,-,-,-,27.315,9.708.388,,,9681073.0,,,,27315.0,9708388.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,30.197.537,3.813.722,4.153.841,-,-,38.165.100,,,30197537.0,3813722.0,4153841.0,,,38165100.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,31.176.444,12.344.463,18.246.107,1.736.462,291,63.503.767,,,31176444.0,12344463.0,18246107.0,1736462.0,291.0,63503767.0
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,-,18.851,111.565,25.901,5.975,-,162.292,,,18851.0,111565.0,25901.0,5975.0,,162292.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,18.932,-,2.670.755,3.645.290,2.000.000,8.334.977,,,18932.0,,2670755.0,3645290.0,2000000.0,8334977.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.247.909,1.938.193,267.025,-,-,4.453.127,,,2247909.0,1938193.0,267025.0,,,4453127.0
,,,-,-,73.340.746,18.207.943,25.363.629,5.387.727,2.027.606,124.327.651,,,73340746.0,18207943.0,25363629.0,5387727.0,2027606.0,124327651.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,3.127.284,2.467.273,(48.237.093),(1.006.891),(5.262.268),29.324.636,36.365.110,16.778.051,3127284.0,2467273.0,-48237093.0,-1006891.0,-5262268.0,29324636.0,36365110.0,16778051.0
