row_label_raw,row_label_full,(a),Tiền gửi của khách hàng bằng Đồng Việt Nam,100%,numeric__Tiền gửi của khách hàng bằng Đồng Việt Nam,numeric__100%
(b),(b),(b),"Vàng miếng, trừ vàng miếng quy định tại điểm (i); tiền gửi của khách hàng bằng ngoại tệ",95%,,0.95
(c),(c),(c),"Trái phiếu Chính phủ, công cụ chuyển nhượng, giấy tờ có giá do chính TCTD phát hành;the tiết kiệm, chứng chỉ tiên gửi, kỷ phiếu, tín phiếu do tổ chức tín dụng, chi nhánh ngân hàng nước ngoài khác phát hành:",,,
