row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019(Triệu VND),Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.495.225,-,-,-,-,-,-,2.495.225,,2495225.0,,,,,,,2495225.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,4.070.916,-,-,-,-,-,4.070.916,,,4070916.0,,,,,,4070916.0
Tiền gửi và cho vay các TCTDkhác - gộp,Tài sản > Tiền gửi và cho vay các TCTDkhác - gộp,Tiền gửi và cho vay các TCTDkhác - gộp,225.850,-,15.331.045,4.151.667,970.140,13.215,-,-,20.691.917,225850.0,,15331045.0,4151667.0,970140.0,13215.0,,,20691917.0
Chứng khoán kinh doanh - gộp,Tài sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,127.927,-,-,-,-,-,-,127.927,,127927.0,,,,,,,127927.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,2.850.537,-,32.386.717,10.245.647,10.173.585,4.396.027,2.791.236,420.681,63.264.430,2850537.0,,32386717.0,10245647.0,10173585.0,4396027.0,2791236.0,420681.0,63264430.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,9.072,-,29,-,-,-,-,-,9.101,9072.0,,29.0,,,,,,9101.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,2.919.374,2.309.233,2.566.000,1.589.700,2.155.000,10.883.830,23.670.311,46.093.448,,2919374.0,2309233.0,2566000.0,1589700.0,2155000.0,10883830.0,23670311.0,46093448.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,798.312,-,-,-,-,-,-,798.312,,798312.0,,,,,,,798312.0
Tài sản cố định - thuần,Tài sản > Tài sản cố định - thuần,Tài sản cố định - thuần,-,309.518,-,-,-,-,-,-,309.518,,309518.0,,,,,,,309518.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,3.722.707,16.164.056,1.200,2.400,3.600,77.200,887.600,588.624,21.447.387,3722707.0,16164056.0,1200.0,2400.0,3600.0,77200.0,887600.0,588624.0,21447387.0
,,,6.808.166,22.814.412,54.099.140,16.965.714,12.737.025,6.641.442,14.562.666,24.679.616,159.308.181,6808166.0,22814412.0,54099140.0,16965714.0,12737025.0,6641442.0,14562666.0,24679616.0,159308181.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Nợ phải trả NHNNVNvà Chính phủ,Nợ phải trả > Nợ phải trả NHNNVNvà Chính phủ,Nợ phải trả NHNNVNvà Chính phủ,-,-,-,-,-,-,-,24.040,24.040,,,,,,,,24040.0,24040.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,27.333.274,15.086.451,3.365.134,1.463.660,-,-,47.248.519,,,27333274.0,15086451.0,3365134.0,1463660.0,,,47248519.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,31.490.480,19.094.581,13.205.808,14.975.581,2.130.012,73,80.896.535,,,31490480.0,19094581.0,13205808.0,14975581.0,2130012.0,73.0,80896535.0
Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,-,7.416,-,-,-,-,-,7.416,,,7416.0,,,,,,7416.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,823.358,2.733.044,1.110.448,2.219.501,2.006.430,-,8.892.781,,,823358.0,2733044.0,1110448.0,2219501.0,2006430.0,,8892781.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,5.184.215,-,-,-,-,-,-,5.184.215,,5184215.0,,,,,,,5184215.0
,,,-,5.184.215,59.654.528,36.914.076,17.681.390,18.658.742,4.136.442,24.113,142.253.506,,5184215.0,59654528.0,36914076.0,17681390.0,18658742.0,4136442.0,24113.0,142253506.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,6.808.166,17.630.197,(5.555.388),(19.948.362),(4.944.365),(12.017.300),10.426.224,24.655.503,17.054.675,6808166.0,17630197.0,-5555388.0,-19948362.0,-4944365.0,-12017300.0,10426224.0,24655503.0,17054675.0
