row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2019Triệu VND,31/12/2018Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2019Triệu VND,numeric__31/12/2018Triệu VND
X,X,X,Tài sản Có khác,16,20.758.343,21.102.709,,16.0,20758343.0,21102709.0
1,1,1,Các khoản phải thu,,11.983.848,11.756.245,,,11983848.0,11756245.0
2,2,2,"Các khoản lãi, phí phải thu",,4.022.370,3.137.156,,,4022370.0,3137156.0
3,3,3,Tài sản Có khác,,5.441.169,7.013.430,,,5441169.0,7013430.0
4,4,4,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,,(689.044),(804.122),,,-689044.0,-804122.0
,,,TỔNG TÀI SẢN,,157.085.449,138.123.509,,,157085449.0,138123509.0
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
,,,NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNNVN,17,24.040,9.708.388,,17.0,24040.0,9708388.0
II,B > II,II,Tiền gửi và vay các TCTD khác,18,47.248.519,38.165.100,,18.0,47248519.0,38165100.0
1,B > 1,1,Tiền gửi của các TCTD khác,,19.442.215,22.365.078,,,19442215.0,22365078.0
2,B > 2,2,Vay các TCTD khác,,27.806.304,15.800.022,,,27806304.0,15800022.0
III,B > III,III,Tiền gửi của khách hàng,19,80.896.535,63.503.767,,19.0,80896535.0,63503767.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,7.416,162.292,,8.0,7416.0,162292.0
V,B > V,V,Phát hành giấy tờ có giá,20,8.892.781,8.334.977,,20.0,8892781.0,8334977.0
VI,B > VI,VI,Các khoản nợ khác,21,5.184.215,4.453.127,,21.0,5184215.0,4453127.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.116.347,1.318.308,,,2116347.0,1318308.0
2,B > 2,2,Các khoản phải trả và công nợ khác,,3.067.868,3.134.819,,,3067868.0,3134819.0
,,,TỔNG NỘ PHẢI TRẢ,,142.253.506,124.327.651,,,142253506.0,124327651.0
