row_label_raw,row_label_full,Loại tiền,Mức tăng lãi suất 31/12/2019,Ảnh hưởng đến kết quả hoạt động kinh doanh sau thuế cho năm kết thúc ngày 31/12/2019 (Triệu VND),numeric__Mức tăng lãi suất 31/12/2019,numeric__Ảnh hưởng đến kết quả hoạt động kinh doanh sau thuế cho năm kết thúc ngày 31/12/2019 (Triệu VND)
VND,VND,VND,"1,00%",(28.711),0.01,-28711.0
USD,USD,USD,"0,25%",(5.831),0.0025,-5831.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,,
Loại tiền,Loại tiền,Loại tiền,,Ảnh hưởng đến kết quả hoạt động kinh doanh sau thuế cho năm kết thúc ngày 31/12/2018 (Triệu VND),,
Loại tiền,Loại tiền,Loại tiền,Mức tăng lãi suất 31/12/2018,Ảnh hưởng đến kết quả hoạt động kinh doanh sau thuế cho năm kết thúc ngày 31/12/2018 (Triệu VND),,
VND,Loại tiền > VND,VND,"1,00%",(32.198),0.01,-32198.0
USD,Loại tiền > USD,USD,"0,25%",(12.144),0.0025,-12144.0
