row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Giá trị hợp lý > Giá trị hợp lý thông qua BCKQHĐKD Triệu VND,Giá trị hợp lý > Giữ đến ngày đáo hạn Triệu VND,Giá trị hợp lý > Cho vay và phải thu Triệu VND,Giá trị hợp lý > Sẵn sàng để bán Triệu VND,Giá trị hợp lý > Hạch toán theo giá trị phân bổ Triệu VND,Giá trị hợp lý > Tổng cộng giá trị ghi số Triệu VND,Giá trị hợp lý > Triệu VND,numeric__Giá trị hợp lý > Giá trị hợp lý thông qua BCKQHĐKD Triệu VND,numeric__Giá trị hợp lý > Giữ đến ngày đáo hạn Triệu VND,numeric__Giá trị hợp lý > Cho vay và phải thu Triệu VND,numeric__Giá trị hợp lý > Sẵn sàng để bán Triệu VND,numeric__Giá trị hợp lý > Hạch toán theo giá trị phân bổ Triệu VND,numeric__Giá trị hợp lý > Tổng cộng giá trị ghi số Triệu VND,numeric__Giá trị hợp lý > Triệu VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,,,,,,,,,
"Tiền mặt, vàng","Tài sản tài chính > Tiền mặt, vàng","Tiền mặt, vàng",2.337.869,-,-,-,-,2.337.869,2.337.869,2337869.0,,,,,2337869.0,2337869.0
Tiền gửi tại NHNNVN,Tài sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,2.405.915,-,-,2.405.915,2.405.915,,,2405915.0,,,2405915.0,2405915.0
Tiền gửi và cho vay các TCTD khác - gộp,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác - gộp,Tiền gửi và cho vay các TCTD khác - gộp,-,-,22.811.033,-,-,22.811.033,(*),,,22811033.0,,,22811033.0,
Chứng khoán kinh doanh - gộp,Tài sản tài chính > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,127.927,-,-,-,-,127.927,(*),127927.0,,,,,127927.0,
Cho vay khách hàng - gộp,Tài sản tài chính > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,-,48.708.547,-,-,48.708.547,(*),,,48708547.0,,,48708547.0,
Hoạt động mua nợ - gộp,Tài sản tài chính > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,44.362,-,-,44.362,(*),,,44362.0,,,44362.0,
Chứng khoán đầu tư - gộp,Tài sản tài chính > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,3.313.919,-,38.341.625,-,41.655.544,(*),,3313919.0,,38341625.0,,41655544.0,
Đầu tư dài hạn khác,Tài sản tài chính > Đầu tư dài hạn khác,Đầu tư dài hạn khác,-,-,-,1.236,-,1.236,(*),,,,1236.0,,1236.0,
Tài sản tài chính khác - gộp,Tài sản tài chính > Tài sản tài chính khác - gộp,Tài sản tài chính khác - gộp,-,-,21.620.719,-,-,21.620.719,(*),,,21620719.0,,,21620719.0,
,,,2.465.796,3.313.919,95.590.576,38.342.861,-,139.713.152,,2465796.0,3313919.0,95590576.0,38342861.0,,139713152.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả tài chính > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,-,-,9.708.388,9.708.388,(*),,,,,9708388.0,9708388.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,38.165.100,38.165.100,(*),,,,,38165100.0,38165100.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,63.503.767,63.503.767,(*),,,,,63503767.0,63503767.0,
Các công cụ tài chính phải sinh,Nợ phải trả tài chính > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,162.292,,-,-,-,162.292,(*),162292.0,,,,,162292.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,8.334.977,8.334.977,(*),,,,,8334977.0,8334977.0,
Các khoản nợ phải trả tài chính khác,Nợ phải trả tài chính > Các khoản nợ phải trả tài chính khác,Các khoản nợ phải trả tài chính khác,-,-,-,-,4.099.954,4.099.954,(*),,,,,4099954.0,4099954.0,
,,,162.292,-,-,-,123.812.186,123.974.478,,162292.0,,,,123812186.0,123974478.0,
