row_label_raw,row_label_full,Bên liên quan > Tiền và tương đương tiền (Thuyết minh số 04),Nội dung nghiệp vụ,Số cuối năm VND > 16.420.899.754,Số đầu năm VND > 47.776.394.114,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm VND > 16.420.899.754,numeric__Số đầu năm VND > 47.776.394.114
Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng Thương mại Cổ phần Kiên Long,Tiền và tương đương tiền,16.420.899.754,47.776.394.114,,16420899754.0,47776394114.0
Cổ phần ưu đãi cổ tức (Thuyết minh số 05),Cổ phần ưu đãi cổ tức (Thuyết minh số 05),Cổ phần ưu đãi cổ tức (Thuyết minh số 05),,-,4.000.000.000.000,,,4000000000000.0
Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Công ty Cổ phần Đầu tư Thương mại Sunshine Business,Đầu tư nằm giữ tới ngày đáo hạn,-,1.000.000.000.000,,,1000000000000.0
Công ty Cổ phần Sunshine Cab,Công ty Cổ phần Sunshine Cab,Công ty Cổ phần Sunshine Cab,Đầu tư nằm giữ tới ngày đáo hạn,-,1.000.000.000.000,,,1000000000000.0
Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Đầu tư nằm giữ tới ngày đáo hạn,Không còn là bên liên quan,2.000.000.000.000,,,2000000000000.0
Phải thu ngắn hạn của khách hàng (Thuyết minh số 06),Phải thu ngắn hạn của khách hàng (Thuyết minh số 06),Phải thu ngắn hạn của khách hàng (Thuyết minh số 06),,7.164.536.220,9.733.507.095,,7164536220.0,9733507095.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải thu từ dịch vụ cho thuê bất động sản,5.208.505.090,95.806.448,,5208505090.0,95806448.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phải thu từ dịch vụ cho thuê bất động sản,1.650.913.130,-,,1650913130.0,
Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Công ty TNHH Kinh doanh Thương mại và Dịch vụ Sunshine Mart,Phải thu từ dịch vụ cho thuê bất động sản,305.118.000,7.170.573.451,,305118000.0,7170573451.0
Công ty TNHH Cafe's Plus,Công ty TNHH Cafe's Plus,Công ty TNHH Cafe's Plus,"Phải thu từ cho thuê văn phòng, sản thương mại",-,1.050.759.265,,,1050759265.0
Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,"Phải thu về quyền đầu tư, khai thác hệ thống IBS và thuê mặt bằng hệ thống phủ sóng",-,835.679.751,,,835679751.0
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Phải thu từ dịch vụ,-,580.688.180,,,580688180.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 08),Phải thu về cho vay ngắn hạn (Thuyết minh số 08),Phải thu về cho vay ngắn hạn (Thuyết minh số 08),,370.540.000.000,2.604.859.500.000,,370540000000.0,2604859500000.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Phải thu về cho vay ngắn hạn,370.540.000.000,388.000.000.000,,370540000000.0,388000000000.0
Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,Phải thu về cho vay ngắn hạn,Không còn là bên liên quan,715.580.000.000,,,715580000000.0
Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Phải thu về cho vay ngắn hạn,Không còn là bên liên quan,1.021.512.500.000,,,1021512500000.0
Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Công ty Cổ phần Bất động sản Wonderland,Phải thu về cho vay ngắn hạn,-,206.877.000.000,,,206877000000.0
Công ty Cổ phần Xây dựng V-pro,Công ty Cổ phần Xây dựng V-pro,Công ty Cổ phần Xây dựng V-pro,Phải thu về cho vay ngắn hạn,Không còn là bên liên quan,165.000.000.000,,,165000000000.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Phải thu về cho vay ngắn hạn,-,52.400.000.000,,,52400000000.0
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Phải thu về cho vay ngắn hạn,Không còn là bên liên quan,36.500.000.000,,,36500000000.0
Công ty TNHH Kinh doanh dịch vụ Tài Phát,Công ty TNHH Kinh doanh dịch vụ Tài Phát,Công ty TNHH Kinh doanh dịch vụ Tài Phát,Phải thu về cho vay ngắn hạn,Không còn là bên liên quan,18.990.000.000,,,18990000000.0
