row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND > Lãi suất,Số cuối năm > VND > Kỳ hạn,Số cuối năm > VND > Giá trị,Số đầu năm > Giá trị > Lãi suất,Số đầu năm > VND > Kỳ hạn,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND > Lãi suất,numeric__Số cuối năm > VND > Kỳ hạn,numeric__Số cuối năm > VND > Giá trị,numeric__Số đầu năm > Giá trị > Lãi suất,numeric__Số đầu năm > VND > Kỳ hạn
Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,Gói 3,,,,,,
Trái phiếu phát hành theo mênh giá,Gói 3 > Trái phiếu phát hành theo mênh giá,Trái phiếu phát hành theo mênh giá,1.200.000.000.000,"11,7%",5 năm,1.200.000.000.000,"10,03%",5 năm,1200000000000.0,0.11699999999999999,,1200000000000.0,0.1003,
Chi phí phát hành trái phiếu,Gói 3 > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(1.106.681.269),,,(1.586.418.400),,,-1106681269.0,,,-1586418400.0,,
,,,1.198.893.318.731,,,1.198.413.581.600,,,1198893318731.0,,,1198413581600.0,,
Tổng cộng,Gói 3 > Tổng cộng,Tổng cộng,3.298.039.509.724,,,3.296.344.090.652,,,3298039509724.0,,,3296344090652.0,,
