row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > VND Giá trị theo phương pháp vốn chủ sở hữu,Số đầu năm > Giá gốc,Số đầu năm > VND Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > VND Giá trị theo phương pháp vốn chủ sở hữu,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VND Giá trị theo phương pháp vốn chủ sở hữu
Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,Công ty Cổ phần Thiên Hải,1.445.000.000.000,1.443.393.208.676,1.445.000.000.000,1.444.341.592.944,1445000000000.0,1443393208676.0,1445000000000.0,1444341592944.0
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,450.000.000.000,449.139.180.701,-,-,450000000000.0,449139180701.0,,
Công ty Cổ phần Bắt động sản Wonderland,Công ty Cổ phần Bắt động sản Wonderland,Công ty Cổ phần Bắt động sản Wonderland,-,-,1.078.947.400.000,1.080.551.324.755,,,1078947400000.0,1080551324755.0
Công ty Cổ phần Xây lắp Sunshine E&C,Công ty Cổ phần Xây lắp Sunshine E&C,Công ty Cổ phần Xây lắp Sunshine E&C,-,-,175.000.000.000,175.380.669.153,,,175000000000.0,175380669153.0
Công ty TNHH Bảo Tín Sơn Tùng,Công ty TNHH Bảo Tín Sơn Tùng,Công ty TNHH Bảo Tín Sơn Tùng,-,-,105.000.000.000,104.998.455.174,,,105000000000.0,104998455174.0
,,,1.895.000.000.000,1.892.532.389.377,2.803.947.400.000,2.805.272.042.026,1895000000000.0,1892532389377.0,2803947400000.0,2805272042026.0
