row_label_raw,row_label_full,Ông Đỗ Anh Tuấn,Chủ tịch,numeric__Chủ tịch
Bà Đỗ Thị Định,Bà Đỗ Thị Định,Bà Đỗ Thị Định,Thành viên,
Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Bà Nguyễn Thị Hồng Hạnh,Thành viên,
Ông Nguyễn Xuân Anh,Ông Nguyễn Xuân Anh,Ông Nguyễn Xuân Anh,Thành viên,
Ông Nguyễn Việt Hải,Ông Nguyễn Việt Hải,Ông Nguyễn Việt Hải,Thành viên độc lập (bổ nhiệm ngày 20 tháng 5 năm 2023),
Ông Lương Thành Long,Ông Lương Thành Long,Ông Lương Thành Long,Thành viên độc lập (miễn nhiệm ngày 20 tháng 5 năm 2023),
