row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu/phải nộptrong nămVND,Số đã thực nộp/bù trừ trong nămVND,Giảm do thanh lýcông ty conVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu/phải nộptrong nămVND,numeric__Số đã thực nộp/bù trừ trong nămVND,numeric__Giảm do thanh lýcông ty conVND,numeric__Số cuối nămVND
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,,,,,
Thuế thu nhập doanh nghiệp tạm nộp,Các khoản phải thu > Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,19.573.961.702,19.806.975.791,3.502.038.291,-,3.269.024.202,19573961702.0,19806975791.0,3502038291.0,,3269024202.0
"Thuế nhà đất, tiền thuê đất","Các khoản phải thu > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",763.677.579,1.593.998.791,1.037.554.059,-,207.232.847,763677579.0,1593998791.0,1037554059.0,,207232847.0
Thuế thu nhập cá nhân,Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,7.403.101,3.956.350,1.322.835,-,4.769.586,7403101.0,3956350.0,1322835.0,,4769586.0
,,,20.345.042.382,21.404.930.932,4.540.915.185,-,3.481.026.635,20345042382.0,21404930932.0,4540915185.0,,3481026635.0
Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,Các khoản phải nộp,,,,,
Thuế giá trị gia tăng,Các khoản phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,55.170.462.399,164.049.249.134,187.881.985.559,-,31.337.725.974,55170462399.0,164049249134.0,187881985559.0,,31337725974.0
Thuế thu nhập doanh nghiệp,Các khoản phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,108.987.580.256,310.575.164.171,98.670.281.592,17.316.721.736,303.575.741.099,108987580256.0,310575164171.0,98670281592.0,17316721736.0,303575741099.0
Thuế thu nhập cá nhân,Các khoản phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.756.956.838,11.654.052.975,11.113.128.140,2.480.059,3.295.401.614,2756956838.0,11654052975.0,11113128140.0,2480059.0,3295401614.0
"Thuế nhà đất, tiền thuê đất","Các khoản phải nộp > Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,2.492.639.253,2.492.639.253,-,-,,2492639253.0,2492639253.0,,
Các loại thuế khác,Các khoản phải nộp > Các loại thuế khác,Các loại thuế khác,-,1.877.975.856,1.877.975.856,-,-,,1877975856.0,1877975856.0,,
,,,166.914.999.493,490.649.081.389,302.036.010.400,17.319.201.795,338.208.868.687,166914999493.0,490649081389.0,302036010400.0,17319201795.0,338208868687.0
