row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
,,,,VND,VND,,,
Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,Phí dịch vụ chi hộ,,8.848.228.970,11.568.452.835,,8848228970.0,11568452835.0
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phí dịch vụ chi hộ,7.661.123.964,10.771.979.775,,7661123964.0,10771979775.0
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phí dịch vụ chi hộ,877.878.505,425.760.815,,877878505.0,425760815.0
Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Phí dịch vụ chi hộ,169.534.663,199.832.029,,169534663.0,199832029.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Phí dịch vụ chi hộ,139.691.838,170.880.216,,139691838.0,170880216.0
Chỉ đầu tư,Chỉ đầu tư,Chỉ đầu tư,,-,406.112.876.000,,,406112876000.0
Công ty Cổ phần Bắt động sản Wonderland,Công ty Cổ phần Bắt động sản Wonderland,Công ty Cổ phần Bắt động sản Wonderland,Đầu tư góp vốn bổ sung vào công ty liên kết,-,258.947.400.000,,,258947400000.0
Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Công ty Cổ phần Đầu tư KSFinance,Nhận chuyển nhượng trái phiếu đầu tư,-,147.165.476.000,,,147165476000.0
Nhận tiền hợp tác đầu tư,Nhận tiền hợp tác đầu tư,Nhận tiền hợp tác đầu tư,,-,426.116.000.000,,,426116000000.0
Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,Nhận tiền hợp tác đầu tư,-,426.116.000.000,,,426116000000.0
Hoàn trả hợp đồng hợp tác đầu tư,Hoàn trả hợp đồng hợp tác đầu tư,Hoàn trả hợp đồng hợp tác đầu tư,,552.780.476.713,-,,552780476713.0,
Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,Công ty Cổ phần Marina 3,Hoàn trả hợp đồng hợp tác đầu tư,515.544.476.713,-,,515544476713.0,
Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Công ty TNHH Kinh doanh Dịch vụ Tài Phát,Hoàn trả hợp đồng hợp tác đầu tư,37.236.000.000,-,,37236000000.0,
Cho vay,Cho vay,Cho vay,,-,56.500.000.000,,,56500000000.0
Công ty Cổ phần Bắt động sản Wonderland,Công ty Cổ phần Bắt động sản Wonderland,Công ty Cổ phần Bắt động sản Wonderland,Chuyển tiền cho vay,-,20.000.000.000,,,20000000000.0
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Chuyển tiền cho vay,-,36.500.000.000,,,36500000000.0
Nhận lại gốc cho vay,Nhận lại gốc cho vay,Nhận lại gốc cho vay,,53.960.000.000,33.101.000.000,,53960000000.0,33101000000.0
Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Công ty Cổ phần Sunshine Marina Nha Trang,Nhận lại gốc cho vay,36.500.000.000,-,,36500000000.0,
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Nhận lại gốc cho vay,17.460.000.000,-,,17460000000.0,
Công ty Cổ phần Bắt động sản Fulland,Công ty Cổ phần Bắt động sản Fulland,Công ty Cổ phần Bắt động sản Fulland,Nhận lại gốc cho vay,-,33.100.000.000,,,33100000000.0
Công ty Cổ phần Đầu tư kinh doanh Bắt động sản S-Homes,Công ty Cổ phần Đầu tư kinh doanh Bắt động sản S-Homes,Công ty Cổ phần Đầu tư kinh doanh Bắt động sản S-Homes,Nhận lại gốc cho vay,-,1.000.000,,,1000000.0
Nhận gốc vay,Nhận gốc vay,Nhận gốc vay,,-,242.500.000.000,,,242500000000.0
Công ty Cổ phần KSlInvest,Công ty Cổ phần KSlInvest,Công ty Cổ phần KSlInvest,Nhận tiền vay,-,242.500.000.000,,,242500000000.0
