row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 09),Nội dung nghiệp vụ,Số cuối năm > VND > 109.114.222.003,Số cuối năm > VND > 1.151.456.607.508,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm > VND > 109.114.222.003,numeric__Số cuối năm > VND > 1.151.456.607.508
Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Công ty Cổ phần KS Group,Phải thu về thu hộ tiền mua căn hộ,72.455.267.050,-,,72455267050.0,
Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,Công ty Cổ phần Vinaminco Khánh Hòa,Lãi dự thu từ cho vay,-,-,,,
Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Sunshine Tây Hồ,Công ty Cổ phần Sunshine Tây Hồ,Lãi dự thu từ cho vay,22.983.815.891,-,,22983815891.0,
Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Quản lý và Vận hành S-Service,Công ty Cổ phần Quản lý và Vận hành S-Service,Phải thu từ chi hộ,6.163.895.666,525.361.946,,6163895666.0,525361946.0
Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Công ty Cổ phần Tập đoàn Sunshine Sài Gòn,Phải thu về thu hộ tiền mua căn hộ,4.235.768.840,-,,4235768840.0,
Công ty Cổ phần Tập đoàn xây dựng SCG,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Tập đoàn xây dựng SCG,Công ty Cổ phần Tập đoàn xây dựng SCG,Phải thu từ hợp đồng bù trừ công nợ ba bên,2.222.220.915,-,,2222220915.0,
Công ty Cổ phần Sunshine AM,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Sunshine AM,Công ty Cổ phần Sunshine AM,Phải thu từ chi hộ,868.265.742,Công ty con từ ngày 29/4/2022,,868265742.0,
Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Công ty Cổ phần Đầu tư và Công nghệ Vietnet,Phải thu từ chi hộ,184.987.899,106.736.710,,184987899.0,106736710.0
Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Tập đoàn Sunshine,Công ty Cổ phần Tập đoàn Sunshine,Phải thu từ đặt cọc chuyển nhượng cổ phần,-,450.000.000.000,,,450000000000.0
Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Công ty Cổ phần Vinaminco Khánh Hòa > Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Công ty Cổ phần Kinh doanh Bất động sản Kinh Bắc,Lãi dự thu từ cổ phần ưu đãi cổ tức,Không còn là bên liên quan,407.612.931.507,,,407612931507.0
