row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộp trong nămVND,Số đã thực nộp/cấn trừ trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộp trong nămVND,numeric__Số đã thực nộp/cấn trừ trong nămVND,numeric__Số cuối nămVND
Thuế phải nộp,Thuế phải nộp,Thuế phải nộp,91.477.907.259,587.505.075.572,226.897.933.989,452.085.048.842,91477907259.0,587505075572.0,226897933989.0,452085048842.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,17.384.640.254,339.600.130.010,91.085.146.257,265.899.624.007,17384640254.0,339600130010.0,91085146257.0,265899624007.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,39.829.032.204,179.331.648.302,102.825.665.430,116.335.015.076,39829032204.0,179331648302.0,102825665430.0,116335015076.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,212.966.343,8.589.040.490,5.665.930.351,3.136.076.482,212966343.0,8589040490.0,5665930351.0,3136076482.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,10.156.601,203.395.978,198.186.222,15.366.357,10156601.0,203395978.0,198186222.0,15366357.0
Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,31.083.570.300,3.084.254.065,9.749.633.329,24.418.191.036,31083570300.0,3084254065.0,9749633329.0,24418191036.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,20.313.202,406.791.956,396.376.033,30.729.125,20313202.0,406791956.0,396376033.0,30729125.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.937.228.355,56.289.814.771,16.976.996.367,42.250.046.759,2937228355.0,56289814771.0,16976996367.0,42250046759.0
Thuế phải thu,Thuế phải thu,Thuế phải thu,24.698.326.046,-,5.148.086.479,29.846.412.525,24698326046.0,,5148086479.0,29846412525.0
Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,Thuế thu nhập doanh nghiệp tạm nộp,24.589.719.510,-,5.148.086.479,29.737.805.989,24589719510.0,,5148086479.0,29737805989.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,108.606.536,-,-,108.606.536,108606536.0,,,108606536.0
