row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term,Short-term,Short-term,"4,233,013,376,680","4,482,460,803,601",,
Advances to the Board of Compensation,Advances to the Board of Compensation,Advances to the Board of Compensation,"3,782,464,376,032","3,712,509,405,922",,
Long Tan Project,Long Tan Project,Long Tan Project,"2,636,394,302,400","2,656,873,402,400",,
North Vung Tau Project,North Vung Tau Project,North Vung Tau Project,"951,275,984,915","861,382,084,278",,
Chi Linh Project,Chi Linh Project,Chi Linh Project,"140,014,270,244","140,014,270,244",,
Quang Binh Project,Quang Binh Project,Quang Binh Project,"47,429,649,000","47,429,649,000",,
Hiep Phuoc Project,Hiep Phuoc Project,Hiep Phuoc Project,"4,810,000,000","4,810,000,000",,
Bau Trung Project,Bau Trung Project,Bau Trung Project,"2,000,000,000","2,000,000,000",,
Hau Giang Project,Hau Giang Project,Hau Giang Project,"540,169,473",,,
Advances to staff,Advances to staff,Advances to staff,"43,890,683,682","21,518,649,693",,
Interest receivables,Interest receivables,Interest receivables,"32,406,853,815","11,534,952,603",,
Deposit,Deposit,Deposit,"77,420,509,309","454,539,043,821",,
Payment on behalf,Payment on behalf,Payment on behalf,"57,082,809,045","56,659,133,285",,
Others,Others,Others,"239,748,144,797","225,699,618,277",,
Long-term,Long-term,Long-term,"79,999,999,999","79,999,999,999",,
Cooperation in investment and development of projects (i),Cooperation in investment and development of projects (i),Cooperation in investment and development of projects (i),,,,
A.T.A Construction Investment Joint Stock Company,A.T.A Construction Investment Joint Stock Company,A.T.A Construction Investment Joint Stock Company,"79,999,999,999","79,999,999,999",,
Total,Total,Total,"4,313,013,376,679","4,562,460,803,600",,
In which:,In which:,In which:,In which:,In which:,,
Receivables from related parties (Note VIII.2),Receivables from related parties (Note VIII.2),Receivables from related parties (Note VIII.2),"1,301,842,670,043","1,236,534,182,060",,
