row_label_raw,row_label_full,col_0,col_1,Current year VND,Previous year VND,numeric__col_1,numeric__Current year VND,numeric__Previous year VND
Remuneration of members of the Board of Management,Remuneration of members of the Board of Management,Remuneration of members of the Board of Management,Remuneration of members of the Board of Management,"3,595,900,000","4,960,500,000",,,
Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Mr Nguyen Hung Cuong,Chairman,"1,950,000,000","1,987,500,000",,,
Mr Nguyen Thien Tuan,Mr Nguyen Thien Tuan,Mr Nguyen Thien Tuan,"Chairman (Passed away on August 10, 2024)",-,"1,098,000,000",,,
Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Vice Chairman,"1,300,000,000","1,500,000,000",,,
Mr Nguyen Quang Tin,Mr Nguyen Quang Tin,Mr Nguyen Quang Tin,Member,"130,000,000","150,000,000",,,
Mr Dinh Hong Ky,Mr Dinh Hong Ky,Mr Dinh Hong Ky,Independent Member,"195,000,000","225,000,000",,,
Mr Bui Van Su,Mr Bui Van Su,Mr Bui Van Su,"Member (From April 18, 2025 to June 17, 2025)","20,900,000",-,,,
Remuneration of members of Internal Audit,Remuneration of members of Internal Audit,Remuneration of members of Internal Audit,Remuneration of members of Internal Audit,-,-,,,
Mr Dinh Hong Ky,Mr Dinh Hong Ky,Mr Dinh Hong Ky,Chairman,-,-,,,
Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Ms Nguyen Thi Thanh Huyen,Member,-,-,,,
General Director,General Director,General Director,General Director,,,,,
"Salaries, bonuses and others","Salaries, bonuses and others","Salaries, bonuses and others","Salaries, bonuses and others","1,930,816,129","1,861,745,579",,,
Other managers,Other managers,Other managers,Other managers,,,,,
"Salaries, bonuses and others","Other managers > Salaries, bonuses and others","Salaries, bonuses and others","Salaries, bonuses and others",6.658.529.363,6.419.878.337,,6658529363.0,6419878337.0
