row_label_raw,row_label_full,Purpose of capital use,Purpose of capital use_1,Purpose of capital use_2,Purpose of capital use_3,numeric__Purpose of capital use_1,numeric__Purpose of capital use_2,numeric__Purpose of capital use_3
According to the plan,According to the plan,According to the plan,Amount (VND),According to the plan adjust,Amount (VND),,,
"Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","1,499,857,000,000","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","749,957,000,000",,,
"Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","Investment in North Vung Tau New Urban Area Project, Ward 12, Ba Ria - Vung Tau Province (currently Phuoc Thang Ward, Ho Chi Minh City)","1,499,857,000,000",Pay the outstanding amount to Tan Long Investment and Development Joint Stock Company,"749,900,000,000",,,
Total,Total,Total,"1,499,857,000,000",,"1,499,857,000,000",,,
