row_label_raw,row_label_full,col_0,End of year,End of year_1,Beginning of year,Beginning of year_1,numeric__End of year,numeric__End of year_1,numeric__Beginning of year,numeric__Beginning of year_1
,,,Original cost VND,Provision VND,Original cost VND,Provision VND,,,,
Others,Others,Others,"131,469,556","(131,469,556)","131,469,556","(131,469,556)",,,,
Total,Total,Total,"131,469,556","(131,469,556)","131,469,556","(131,469,556)",,,,
