row_label_raw,row_label_full,RESOURCE,Code,Note,End of year,Beginning of year,numeric__Code,numeric__Note,numeric__End of year,numeric__Beginning of year
C. LIABILITIES,C. LIABILITIES,C. LIABILITIES,300,,"7,866,632,995,075","9,489,741,186,720",300.0,,,
I. Current liabilities,I. Current liabilities,I. Current liabilities,310,,"7,331,861,890,089","7,595,187,688,031",310.0,,,
1. Short-term trade payables,1. Short-term trade payables,1. Short-term trade payables,311,V.13,"417,687,201,380","448,300,511,037",311.0,,,
2. Short-term advances from customers,2. Short-term advances from customers,2. Short-term advances from customers,312,V.14,"3,060,369,671,134","2,456,652,493,818",312.0,,,
3. Statutory obligations,3. Statutory obligations,3. Statutory obligations,313,V.15,"452,085,048,842","91,477,907,259",313.0,,,
4. Payables to employees,4. Payables to employees,4. Payables to employees,314,,"22,716,178,212","16,268,893,716",314.0,,,
5. Short-term accrued expenses,5. Short-term accrued expenses,5. Short-term accrued expenses,315,V.16,"279,794,161,655","321,814,317,488",315.0,,,
6. Short-term unearned revenues,6. Short-term unearned revenues,6. Short-term unearned revenues,318,V.17,"3,410,599,636","3,410,599,636",318.0,,,
7. Other short-term payables,7. Other short-term payables,7. Other short-term payables,319,V.18,"2,134,037,217,185","2,931,825,483,579",319.0,,,
8. Short-term loan and finance lease,8. Short-term loan and finance lease,8. Short-term loan and finance lease,320,V.19,"955,686,291,514","1,276,577,657,669",320.0,,,
9. Reward and welfare funds,9. Reward and welfare funds,9. Reward and welfare funds,322,,"6,075,520,531","48,859,823,829",322.0,,,
II. Long-term liabilities,II. Long-term liabilities,II. Long-term liabilities,330,,"534,771,104,986","1,894,553,498,689",330.0,,,
1. Long-term unearned revenues,1. Long-term unearned revenues,1. Long-term unearned revenues,336,V.17,"107,694,335,396","111,068,571,388",336.0,,,
2. Other long-term payables,2. Other long-term payables,2. Other long-term payables,337,V.18,"1,119,952,234","19,596,218,672",337.0,,,
3. Long-term loan and finance lease,3. Long-term loan and finance lease,3. Long-term loan and finance lease,338,V.19,"425,956,817,356","1,763,888,708,629",338.0,,,
D. OWNERS' EQUITY,D. OWNERS' EQUITY,D. OWNERS' EQUITY,400,,"10,277,002,446,827","7,858,644,649,955",400.0,,,
I. Owners' equity,I. Owners' equity,I. Owners' equity,410,V.20,"10,277,002,446,827","7,858,644,649,955",410.0,,,
1. Owners' contributed capital,1. Owners' contributed capital,1. Owners' contributed capital,411,,"7,964,311,910,000","6,098,519,950,000",411.0,,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"7,964,311,910,000","6,098,519,950,000",,,,
- Preference shares,- Preference shares,- Preference shares,411b,,-,-,,,,
2. Share premium,- Preference shares > 2. Share premium,2. Share premium,412,,"1,345,901,798,421","1,046,337,538,421",412.0,,,
3. Investment and development fund,- Preference shares > 3. Investment and development fund,3. Investment and development fund,418,,"82,002,783,070","82,002,783,070",418.0,,,
4. Retained earnings,- Preference shares > 4. Retained earnings,4. Retained earnings,421,,"884,785,955,336","631,784,378,464",421.0,,,
- Retained earnings accumulated to the prior year-end,- Retained earnings accumulated to the prior year-end,- Retained earnings accumulated to the prior year-end,421a,,"252,754,981,946","367,035,648,102",,,,
- Retained earnings of current period,- Retained earnings of current period,- Retained earnings of current period,421b,,"632,030,973,390","264,748,730,362",,,,
TOTAL RESOURCES,- Retained earnings of current period > TOTAL RESOURCES,TOTAL RESOURCES,440,,"18,143,635,441,902","17,348,385,836,675",440.0,,,
