row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.134.037.217.185,2.931.825.483.579,2134037217185.0,2931825483579.0
Nhận đặt cọc chuyển nhượng dự án,Nhận đặt cọc chuyển nhượng dự án,Nhận đặt cọc chuyển nhượng dự án,1.520.792.777.500,2.365.627.002.500,1520792777500.0,2365627002500.0
"Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",307.720.594.658,290.324.944.800,307720594658.0,290324944800.0
Lợi nhuận được chia từ hợp tác kinh doanh,Lợi nhuận được chia từ hợp tác kinh doanh,Lợi nhuận được chia từ hợp tác kinh doanh,136.388.584.457,136.388.584.457,136388584457.0,136388584457.0
"Lệ phí trước bạ, quỹ bảo trì chung cư (i)","Lệ phí trước bạ, quỹ bảo trì chung cư (i)","Lệ phí trước bạ, quỹ bảo trì chung cư (i)",40.702.543.903,32.308.365.792,40702543903.0,32308365792.0
"Chi phí đền bù, giải tỏa phải trả","Chi phí đền bù, giải tỏa phải trả","Chi phí đền bù, giải tỏa phải trả",48.878.506.194,19.990.483.579,48878506194.0,19990483579.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,1.026.563.802,1.026.563.802,1026563802.0,1026563802.0
Phải trả khác,Phải trả khác,Phải trả khác,78.527.646.671,86.159.538.649,78527646671.0,86159538649.0
Dài hạn,Dài hạn,Dài hạn,1.119.952.234,19.596.218.672,1119952234.0,19596218672.0
Nhận hợp tác đầu tư các dự án bất động sản (ii),Nhận hợp tác đầu tư các dự án bất động sản (ii),Nhận hợp tác đầu tư các dự án bất động sản (ii),1.119.952.234,19.596.218.672,1119952234.0,19596218672.0
Cộng,Cộng,Cộng,2.135.157.169.419,2.951.421.702.251,2135157169419.0,2951421702251.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả khác là Bên liên quan (Thuyết minh VIII.2),Trong đó: > Phải trả khác là Bên liên quan (Thuyết minh VIII.2),Phải trả khác là Bên liên quan (Thuyết minh VIII.2),224.926.933.855,213.797.839.976,224926933855.0,213797839976.0
