row_label_raw,row_label_full,col_0,Current yearVND,Previous yearVND,numeric__Current yearVND,numeric__Previous yearVND
Net revenue from sale of real estate,Net revenue from sale of real estate,Net revenue from sale of real estate,"4,231,490,733,293","545,578,268,104",,
Net revenue from construction,Net revenue from construction,Net revenue from construction,"90,909,091","415,299,733,646",,
Net revenue from investment real estate for rent,Net revenue from investment real estate for rent,Net revenue from investment real estate for rent,"3,374,235,992","3,374,235,992",,
Net revenue from other rendering of services,Net revenue from other rendering of services,Net revenue from other rendering of services,"6,976,135,274","10,748,256,374",,
Total,Total,Total,"4,241,932,013,650","975,000,494,116",,
In which:,In which:,In which:,,,,
Net revenue from related parties (Note VIII.2),Net revenue from related parties (Note VIII.2),Net revenue from related parties (Note VIII.2),"19,203,635,643","572,714,708,548",,
4. Cost of goods sold,4. Cost of goods sold,4. Cost of goods sold,,,,
,,,Current yearVND,Previous yearVND,,
Cost of real estate,Cost of real estate,Cost of real estate,"3,154,080,087,099","370,141,556,178",,
Cost of construction,Cost of construction,Cost of construction,-,"250,093,223,388",,
Cost of investment real estate for rent,Cost of investment real estate for rent,Cost of investment real estate for rent,"2,889,116,652","2,889,116,652",,
Cost of other services rendered,Cost of other services rendered,Cost of other services rendered,"2,935,913,381","2,004,309,535",,
Total,Total,Total,"3,159,905,117,132","625,128,205,753",,
5. Financial income,5. Financial income,5. Financial income,,,,
,,,Current yearVND,Previous yearVND,,
Interest income,Interest income,Interest income,"30,446,921,304","59,155,698,286",,
Profit from sale of investments,Profit from sale of investments,Profit from sale of investments,"32,080,670,342","53,250,000,000",,
Dividends,Dividends,Dividends,"12,843,780,700","2,167,189,600",,
Total,Total,Total,"75,371,372,346","114,572,887,886",,
6. Financial expenses,6. Financial expenses,6. Financial expenses,,,,
,,,Current yearVND,Previous yearVND,,
Interest expenses,Interest expenses,Interest expenses,"22,262,994,757","22,942,261,972",,
Provision/(Reversal of provision) for financial investment,Provision/(Reversal of provision) for financial investment,Provision/(Reversal of provision) for financial investment,"147,261,077,184","(42,107,569,276)",,
Payment discount,Payment discount,Payment discount,-,"8,467,200",,
Total,Total,Total,"169,524,071,941","(19,156,840,104)",,
7. Selling expenses,7. Selling expenses,7. Selling expenses,,,,
,,,Current yearVND,Previous yearVND,,
Brokerage and advertising expenses,Brokerage and advertising expenses,Brokerage and advertising expenses,"41,924,672,499","23,005,958,980",,
Other expenses,Other expenses,Other expenses,"578,490,819","803,757,003",,
Total,Total,Total,"42,503,163,318","23,809,715,983",,
