row_label_raw,row_label_full,Number,Name,Registered office address,Principal activities,Ownership > End of year %,Ownership > Beginning of year %,Voting right > End of year %,Voting right > Beginning of year %,numeric__Name,numeric__Registered office address,numeric__Principal activities,numeric__Ownership > End of year %,numeric__Ownership > Beginning of year %,numeric__Voting right > End of year %,numeric__Voting right > Beginning of year %
4.,4.,4.,Development Investment Construction Number 2 Joint Stock Company,"No.5, Street No. 6, Chi Linh Urban Area, Rach Dua Ward, Ho Chi Minh City",Manufacturing and trading construction materials; real estate business,50.14,50.14,50.14,50.14,,,,5014.0,5014.0,5014.0,5014.0
5.,5.,5.,DIC Vision Development Investment Joint Stock Company,"No.265, Le Hong Phong Street, Tam Thang Ward, Ho Chi Minh City","Real estate business; management consulting activities; educations; care, nursing",98.67,98.67,98.67,98.67,,,,9867.0,9867.0,9867.0,9867.0
6.,6.,6.,DIC Urban and Industrial zone Development Company Limited,"No.15 Thi Sach, Vung Tau Ward, Ho Chi Minh City",Investment in Industrial Park,100,100,100,100,,,,100.0,100.0,100.0,100.0
7.,7.,7.,Vung Tau Sports Tourism Development Investment Joint Stock Company (Indirect ownership),"B12 Chi Linh Urban Center, Tam Thang Ward, Ho Chi Minh City",Golf course business and related services,81.71,66.85,82.24,82.24,,,,8171.0,6685.0,8224.0,8224.0
8.,8.,8.,Sports TOTO Vietnam Joint Stock Company (Indirect ownership),"B12 Chi Linh Urban Center, Tam Thang Ward, Ho Chi Minh City",Management consulting activities,53.68,43.92,65.7,54.03,,,,5368.0,4392.0,657.0,5403.0
9.,9.,9.,E&S Development Joint Stock Company (Indirect ownership),"B12 Chi Linh Urban Center, Tam Thang Ward, Ho Chi Minh City",Construction of other civil engineering works,-,65.08,-,80.06,,,,,6508.0,,8006.0
10.,10.,10.,Dai Phuoc Thien An Company Limited,"Sub-areas 1,2,3 Dai Phuoc Eco-tourism Urban Area, Dai Phuoc Commune, Dong Nai Province",Real estate business,-,99.96,-,99.96,,,,,9996.0,,9996.0
11.,11.,11.,Dai Phuoc Thien Minh Company Limited,"Sub-areas 1,2,3 Dai Phuoc Eco-tourism Urban Area, Dai Phuoc Commune, Dong Nai Province",Real estate business,-,99.99,-,99.99,,,,,9999.0,,9999.0
