row_label_raw,row_label_full,Related parties,Transaction content,Current year VND,Previous year VND,numeric__Transaction content,numeric__Current year VND,numeric__Previous year VND
Other activities,Other activities,Other activities,Other activities,Other activities,Other activities,,,
Development Investment,Development Investment,Development Investment,Construction cost,"104,293,195,613","52,162,895,582",,,
Construction Number 1 JSC,Construction Number 1 JSC,Construction Number 1 JSC,Sale of assets,-,"2,657,888,640",,,
Development Investment,Development Investment,Development Investment,Construction cost,"70,313,395,535","45,681,744,837",,,
Construction Number 2 JSC,Construction Number 2 JSC,Construction Number 2 JSC,Cash dividends,"1,100,675,200",-,,,
Construction Number 2 JSC,Construction Number 2 JSC,Construction Number 2 JSC,Stock dividends,"1,651,010,000",-,,,
Construction Number 2 JSC,Construction Number 2 JSC,Construction Number 2 JSC,Buy additional shares,-,"17,150,000,000",,,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Loan interest,"5,101,788,081","3,499,060,274",,,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Collect loan principal,"116,962,349",-,,,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Capital transfer,-,"33,839,211,640",,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Services expenses,"2,332,571,694","4,003,255,278",,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Sale of assets,-,"108,666,672",,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Contribute additional charter capital,-,"160,000,000,000",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Brokerage costs,"57,212,363,667","28,516,455,736",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Services expenses,-,"828,785,700",,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Stock dividends,"9,420,840,000",-,,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Services expenses,"2,603,855,133","2,528,112,834",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Loan interest,"17,571,779,154","30,501,825,618",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Collect loan principal,"110,064,637,167","36,350,000,000",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Lending,-,"82,000,000,000",,,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,Construction cost,"441,591,395,205","721,189,211,485",,,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,Stock dividends,"24,588,210,000","18,841,340,000",,,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,Cash dividends,"10,362,737,000",-,,,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,Receive upfront payment for real estate,"510,517,769,779","670,935,915,533",,,
Development Investment Construction - Concrete JSC,Development Investment Construction - Concrete JSC,Development Investment Construction - Concrete JSC,Cash dividends,"1,354,493,500","2,167,189,600",,,
DIC Urban and Industrial zone Development Company Limited,DIC Urban and Industrial zone Development Company Limited,DIC Urban and Industrial zone Development Company Limited,Contribute charter capital,-,"48,299,531,767",,,
Development Investment Construction Hoi An JSC,Development Investment Construction Hoi An JSC,Development Investment Construction Hoi An JSC,Cash dividends,"25,875,000","22,500,000",,,
