row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.689.239.600,1.250.168.000,4.939.407.600,3689239600.0,1250168000.0,4939407600.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,59.693.669,-,59.693.669,59693669.0,,59693669.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,3.748.933.269,1.250.168.000,4.999.101.269,3748933269.0,1250168000.0,4999101269.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,279.228.092,94.173.437,373.401.529,279228092.0,94173437.0,373401529.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,44.798.122,141.016.800,185.814.922,44798122.0,141016800.0,185814922.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,324.026.214,235.190.237,559.216.451,324026214.0,235190237.0,559216451.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,3.410.011.508,1.155.994.563,4.566.006.07E,3410011508.0,1155994563.0,
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,3.424.907.055,1.014.977.763,4.439.884.818,3424907055.0,1014977763.0,4439884818.0
