row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm trước (i),Số dư đầu năm trước (i),Số dư đầu năm trước (i),6.098.519.950.000,1.046.337.538.421,82.002.783.070,376.318.091.441,7.603.178.362.932,6098519950000.0,1046337538421.0,82002783070.0,376318091441.0,7603178362932.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,,,,264.748.730.362,264.748.730.362,,,,264748730362.0,264748730362.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,,,,(9.282.443.339),(9.282.443.339),,,,-9282443339.0,-9282443339.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,6.098.519.950.000,1.046.337.538.421,82.002.783.070,631.784.378.464,7.858.644.649.955,6098519950000.0,1046337538421.0,82002783070.0,631784378464.0,7858644649955.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,365.791.960.000,,,(365.791.960.000),-,365791960000.0,,,-365791960000.0,
Chào bán cổ phiếu cho cổ đông hiện hữu (ii),Chào bán cổ phiếu cho cổ đông hiện hữu (ii),Chào bán cổ phiếu cho cổ đông hiện hữu (ii),1.500.000.000.000,299.564.260.000,,-,1.799.564.260.000,1500000000000.0,299564260000.0,,,1799564260000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,,,,632.030.973.390,632.030.973.390,,,,632030973390.0,632030973390.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,,,,(13.237.436.518),(13.237.436.518),,,,-13237436518.0,-13237436518.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,7.964.311.910.000,1.345.901.798.421,82.002.783.070,884.785.955.336,10.277.002.446.827,7964311910000.0,1345901798421.0,82002783070.0,884785955336.0,10277002446827.0
