row_label_raw,row_label_full,Related parties,Transaction content,Current year VND,Previous year VND,numeric__Transaction content,numeric__Current year VND,numeric__Previous year VND
Revenue,Revenue,Revenue,,"19,203,635,643","572,714,708,548",,,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Construction activities,-,"413,419,930,774",,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Real estate,-,"149,989,430,626",,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Rendering of services,"67,636,368","6,654,960,006",,,
Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,Rendering of services,"4,008,845,904","2,483,685,900",,,
Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Real estate,"15,067,753,371","81,306,323",,,
Development Investment Construction Number 2 JSC,Development Investment Construction Number 2 JSC,Development Investment Construction Number 2 JSC,Rendering of services,"59,400,000",-,,,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Rendering of services,-,"19,804,276",,,
DIC Vision Development Investment Joint Stock Company,DIC Vision Development Investment Joint Stock Company,DIC Vision Development Investment Joint Stock Company,Rendering of services,-,"35,590,643",,,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,Rendering of services,-,"30,000,000",,,
