row_label_raw,row_label_full,Banks,End of year VND,Classified into short-term debt VND,Principal repayment term,Interest rate (%/year),Collaterals,Collaterals_1,Collaterals_2,numeric__End of year VND,numeric__Classified into short-term debt VND,numeric__Principal repayment term,numeric__Interest rate (%/year),numeric__Collaterals,numeric__Collaterals_1,numeric__Collaterals_2
Saigon Thuong Tin Commercial Joint Stock Bank - Ba Ria - Vung Tau Branch,Saigon Thuong Tin Commercial Joint Stock Bank - Ba Ria - Vung Tau Branch,Saigon Thuong Tin Commercial Joint Stock Bank - Ba Ria - Vung Tau Branch,"262,500,000,000","175,000,000,000",To 17 June 2027,11.7%,"- Property rights arising from the A2-1 Chi Linh Apartment Project; - Right to use 9,282 m2 of urban land and all assets formed on the land in Thang Nhat Ward, Vung Tau City.","- Property rights arising from the A2-1 Chi Linh Apartment Project; - Right to use 9,282 m2 of urban land and all assets formed on the land in Thang Nhat Ward, Vung Tau City.","- Property rights arising from the A2-1 Chi Linh Apartment Project; - Right to use 9,282 m2 of urban land and all assets formed on the land in Thang Nhat Ward, Vung Tau City.",,,,1.17,,,
Total,Total,Total,"435,585,429,228","202,824,000,000",,,,,,,,,,,,
19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,19.3. Details of bonds and issuance costs are as follows:,,,,,,,
,,,,Beginning of year VND,Increase VND,(Decrease)/Allocating bond issuance costs VND,Classified as bonds due for payment VND,End of year VND,,,,,,,,
Short-term - Common bonds due for payment,Short-term - Common bonds due for payment,Short-term - Common bonds due for payment,Short-term - Common bonds due for payment,-,-,-,"600,000,000,000","600,000,000,000",,,,,,,,
Common bonds - code DIGH2326001 (i),Common bonds - code DIGH2326001 (i),Common bonds - code DIGH2326001 (i),Common bonds - code DIGH2326001 (i),-,-,-,"600,000,000,000","600,000,000,000",,,,,,,,
Long-term - Common Bonds,Long-term - Common Bonds,Long-term - Common Bonds,Long-term - Common Bonds,"1,562,532,648,402","(2,500,000,000)","(766,837,260,274)","(600,000,000,000)","193,195,388,128",,,,,,,,
Common bonds - code DIGH2326001 (i),Common bonds - code DIGH2326001 (i),Common bonds - code DIGH2326001 (i),Common bonds - code DIGH2326001 (i),"600,000,000,000",-,-,"(600,000,000,000)",-,,,,,,,,
Common bonds - code DIGH2326002 (i),Common bonds - code DIGH2326002 (i),Common bonds - code DIGH2326002 (i),Common bonds - code DIGH2326002 (i),"1,000,000,000,000",-,"(800,000,000,000)",-,"200,000,000,000",,,,,,,,
Bonds issuance costs,Bonds issuance costs,Bonds issuance costs,Bonds issuance costs,"(37,467,351,598)","(2,500,000,000)","33,162,739,726",-,"(6,804,611,872)",,,,,,,,
Total,Total,Total,Total,"1,562,532,648,402","(2,500,000,000)","(766,837,260,274)",-,"793,195,388,128",,,,,,,,
