row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Doanh thu,Doanh thu,Doanh thu,,19.203.635.643,572.714.708.548,,19203635643.0,572714708548.0
Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Công ty CP Đầu tư Phát triển Phương Nam,Xây dựng,-,413.419.930.774,,,413419930774.0
Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Bất động sản,-,149.989.430.626,,,149989430626.0
Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Cung cấp dịch vụ,67.636.368,6.654.960.006,,67636368.0,6654960006.0
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Cung cấp dịch vụ,4.008.845.904,2.483.685.900,,4008845904.0,2483685900.0
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Bất động sản,15.067.753.371,81.306.323,,15067753371.0,81306323.0
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Cung cấp dịch vụ,59.400.000,-,,59400000.0,
Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,Cung cấp dịch vụ,-,19.804.276,,,19804276.0
Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Cung cấp dịch vụ,-,35.590.643,,,35590643.0
Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,Cung cấp dịch vụ,-,30.000.000,,,30000000.0
