row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản cố định khác,Đơn vị tính: VND Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,120.823.677.440,11.100.421.213,38.031.889.543,17.078.118.089,1.005.398.182,188.039.504.467,120823677440.0,11100421213.0,38031889543.0,17078118089.0,1005398182.0,188039504467.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,-,378.784.545,-,378.784.545,,,,378784545.0,,378784545.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.405.844.545),(218.073.279),-,(1.623.917.824),,,-1405844545.0,-218073279.0,,-1623917824.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,120.823.677.440,11.100.421.213,36.626.044.998,17.238.829.355,1.005.398.182,186.794.371.188,120823677440.0,11100421213.0,36626044998.0,17238829355.0,1005398182.0,186794371188.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,17.766.441.195,6.105.258.925,19.463.371.003,7.100.603.061,390.505.603,50.826.179.787,17766441195.0,6105258925.0,19463371003.0,7100603061.0,390505603.0,50826179787.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,3.683.549.544,728.901.199,3.692.573.425,2.041.758.982,144.093.180,10.290.876.330,3683549544.0,728901199.0,3692573425.0,2041758982.0,144093180.0,10290876330.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(1.382.729.650),(218.073.279),-,(1.600.802.929),,,-1382729650.0,-218073279.0,,-1600802929.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,21.449.990.739,6.834.160.124,21.773.214.778,8.924.288.764,534.598.783,59.516.253.188,21449990739.0,6834160124.0,21773214778.0,8924288764.0,534598783.0,59516253188.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,103.057.236.245,4.995.162.288,18.568.518.540,9.977.515.028,614.892.579,137.213.324.680,103057236245.0,4995162288.0,18568518540.0,9977515028.0,614892579.0,137213324680.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,99.373.686.701,4.266.261.089,14.852.830.220,8.314.540.591,470.799.399,127.278.118.000,99373686701.0,4266261089.0,14852830220.0,8314540591.0,470799399.0,127278118000.0
