row_label_raw,row_label_full,STT Tên Công ty,STT Tên Công ty_1,Địa chỉ,Ngành nghề kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ lợi ích_1,Tỷ lệ quyền biểu quyết,Tỷ lệ quyền biểu quyết_1,numeric__STT Tên Công ty_1,numeric__Địa chỉ,numeric__Ngành nghề kinh doanh chính,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ lợi ích_1,numeric__Tỷ lệ quyền biểu quyết,numeric__Tỷ lệ quyền biểu quyết_1
STT Tên Công ty,STT Tên Công ty,STT Tên Công ty,STT Tên Công ty,Địa chỉ,Ngành nghề kinh doanh chính,Số cuối năm %,Số đầu năm %,Số cuối năm %,Số đầu năm %,,,,,,,
1.,STT Tên Công ty > 1.,1.,Công ty CP Du lịch DIC,"Số 169 Thùy Vân, Phường Tam Thắng, TP.HCM",Kinh doanh dịch vụ và thương mại,"99,36","81,29","99,36","81,29",,,,99.36,81.29,99.36,81.29
2.,STT Tên Công ty > 2.,2.,Công ty CP Gạch men Anh Em DIC,"KCN Bắc Chu Lai, Núi Thành, TP.Đà Nẵng","Sản xuất sản phẩm gồm sứ, bán buôn vật liệu, khai thác khoáng sản",49,49,49,49,,,,49.0,49.0,49.0,49.0
3.,STT Tên Công ty > 3.,3.,Công ty CP Đầu tư Phát triển Xây dựng Số 1,"Số 265, Đường Lê Hồng Phong, Phường Tam Thắng, TP.HCM","Đầu tư kinh doanh phát triển các khu đô thị và khu công nghiệp, đầu tư kinh doanh phát triển nhà và hạ tầng kỹ thuật đô thị","51,68","51,68","51,68","51,68",,,,51.68,51.68,51.68,51.68
