row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,Số đầu năm_1,Số đầu năm_2,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm,numeric__Số đầu năm_1,numeric__Số đầu năm_2
,,,Tỷ lệ %,Giá gốc VND,Dự phòng VND,Tỷ lệ %,Giá gốc VND,Dự phòng VND,,,,,,
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,1.579.860.721.322,(242.573.781.832),,3.051.307.053.422,(95.312.704.648),,1579860721322.0,-242573781832.0,,3051307053422.0,-95312704648.0
Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,"99,36",1.365.590.236.388,(181.442.082.619),"81,29",944.498.221.388,(46.805.359.931),99.36,1365590236388.0,-181442082619.0,81.29,944498221388.0,-46805359931.0
Công ty TNHH Đại Phước Thiên An,Công ty TNHH Đại Phước Thiên An,Công ty TNHH Đại Phước Thiên An,-,-,-,"99,96",1.133.538.347.100,-,,,,99.96,1133538347100.0,
Công ty TNHH Đại Phước Thiên Minh,Công ty TNHH Đại Phước Thiên Minh,Công ty TNHH Đại Phước Thiên Minh,-,-,-,"99,99",759.000.000.000,-,,,,99.99,759000000000.0,
Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty CP Đầu tư Phát triển Tầm nhìn DIC,Công ty CP Đầu tư Phát triển Tầm nhìn DIC,"98,67",59.200.000.000,(8.488.343.920),"98,67",59.200.000.000,(6.618.243.129),98.67,59200000000.0,-8488343920.0,98.67,59200000000.0,-6618243129.0
Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu,Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu,Công ty TNHH MTV Đầu Tư Phát Triển Đô Thị và Khu,"100,00",50.000.000.000,(11.232.566.933),"100,00",50.000.000.000,(478.313.228),100.0,50000000000.0,-11232566933.0,100.0,50000000000.0,-478313228.0
Công Nghiệp DIC,Công Nghiệp DIC,Công Nghiệp DIC,,,,,,,,,,,,
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công Nghiệp DIC > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,"50,14",48.932.796.574,-,"50,14",48.932.796.574,-,50.14,48932796574.0,,50.14,48932796574.0,
Công ty CP Gạch men Anh Em DIC (i),Công Nghiệp DIC > Công ty CP Gạch men Anh Em DIC (i),Công ty CP Gạch men Anh Em DIC (i),"49,00",41.410.788.360,(41.410.788.360),"49,00",41.410.788.360,(41.410.788.360),49.0,41410788360.0,-41410788360.0,49.0,41410788360.0,-41410788360.0
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công Nghiệp DIC > Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,"51,68",14.726.900.000,-,"51,68",14.726.900.000,-,51.68,14726900000.0,,51.68,14726900000.0,
Đầu tư vào công ty liên kết,Công Nghiệp DIC > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,479.588.885.227,(225.400.000.000),,447.522.688.500,(225.400.000.000),,479588885227.0,-225400000000.0,,447522688500.0,-225400000000.0
Công ty CP Đầu tư phát triển Phương Nam,Công Nghiệp DIC > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,"43,35",225.400.000.000,(225.400.000.000),"43,35",225.400.000.000,(225.400.000.000),43.35,225400000000.0,-225400000000.0,43.35,225400000000.0,-225400000000.0
Công ty CP DICERA Holdings,Công Nghiệp DIC > Công ty CP DICERA Holdings,Công ty CP DICERA Holdings,"25,33",203.668.381.227,-,"35,89",171.602.184.500,-,25.33,203668381227.0,,35.89,171602184500.0,
Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công Nghiệp DIC > Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,Công ty CP Đầu tư Phát triển Xây dựng - Bê tông,"36,00",30.582.504.000,-,"36,00",30.582.504.000,-,36.0,30582504000.0,,36.0,30582504000.0,
Công ty CP Bất động sản D.I.C,Công Nghiệp DIC > Công ty CP Bất động sản D.I.C,Công ty CP Bất động sản D.I.C,"42,68",19.938.000.000,-,"42,68",19.938.000.000,-,42.68,19938000000.0,,42.68,19938000000.0,
Đầu tư góp vốn vào đơn vị khác,Công Nghiệp DIC > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,1.769.594.112,-,,1.769.594.112,-,,1769594112.0,,,1769594112.0,
Công ty CP Vina Đại Phước,Công Nghiệp DIC > Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,"0,10",1.610.000.000,-,"0,10",1.610.000.000,-,0.1,1610000000.0,,0.1,1610000000.0,
Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công Nghiệp DIC > Công ty CP Đầu tư Phát triển Xây dựng Hội An,Công ty CP Đầu tư Phát triển Xây dựng Hội An,"0,27",159.594.112,-,"0,27",159.594.112,-,0.27,159594112.0,,0.27,159594112.0,
Cộng,Công Nghiệp DIC > Cộng,Cộng,,2.061.219.200.661,(467.973.781.832),,3.500.599.336.034,(320.712.704.648),,2061219200661.0,-467973781832.0,,3500599336034.0,-320712704648.0
