row_label_raw,row_label_full,Item,Code,Note,Current year,Previous year,numeric__Code,numeric__Note,numeric__Current year,numeric__Previous year
1. Revenue from sale of goods and rendering of services,1. Revenue from sale of goods and rendering of services,1. Revenue from sale of goods and rendering of services,01,VI.1,"4,310,239,662,239","1,203,731,949,155",1.0,,,
2. Deductible items,2. Deductible items,2. Deductible items,02,VI.2,"68,307,648,589","228,731,455,039",2.0,,,
3. Net revenue from sale of goods and rendering of services,3. Net revenue from sale of goods and rendering of services,3. Net revenue from sale of goods and rendering of services,10,VI.3,"4,241,932,013,650","975,000,494,116",10.0,,,
4. Cost of goods sold,4. Cost of goods sold,4. Cost of goods sold,11,VI.4,"3,159,905,117,132","625,128,205,753",11.0,,,
5. Gross profit from sale of goods and rendering of services,5. Gross profit from sale of goods and rendering of services,5. Gross profit from sale of goods and rendering of services,20,,"1,082,026,896,518","349,872,288,363",20.0,,,
6. Financial income,6. Financial income,6. Financial income,21,VI.5,"75,371,372,346","114,572,887,886",21.0,,,
7. Financial expenses,7. Financial expenses,7. Financial expenses,22,VI.6,"169,524,071,941","(19,156,840,104)",22.0,,,
In which: Interest expense,In which: Interest expense,In which: Interest expense,23,,"22,262,994,757","22,942,261,972",23.0,,,
8. Selling expenses,8. Selling expenses,8. Selling expenses,25,VI.7,"42,503,163,318","23,809,715,983",25.0,,,
9. Administrative expenses,9. Administrative expenses,9. Administrative expenses,26,VI.8,"128,884,323,893","118,967,778,734",26.0,,,
10. Net profit from operating activities,10. Net profit from operating activities,10. Net profit from operating activities,30,,"816,486,709,712","340,824,521,636",30.0,,,
11. Other income,11. Other income,11. Other income,31,VI.9,"29,763,848,459","18,239,036,281",31.0,,,
12. Other expenses,12. Other expenses,12. Other expenses,32,VI.10,"34,887,936,479","23,795,300,864",32.0,,,
13. Other profit,13. Other profit,13. Other profit,40,,"(5,124,088,020)","(5,556,264,583)",40.0,,,
14. Accounting profit before tax,14. Accounting profit before tax,14. Accounting profit before tax,50,,"811,362,621,692","335,268,257,053",50.0,,,
15. Current corporate income tax expenses,15. Current corporate income tax expenses,15. Current corporate income tax expenses,51,VI.11,"179,331,648,302","70,519,526,691",51.0,,,
16. Deferred corporate income tax expenses,16. Deferred corporate income tax expenses,16. Deferred corporate income tax expenses,52,,-,-,52.0,,,
17. Profit after tax,17. Profit after tax,17. Profit after tax,60,,"632,030,973,390","264,748,730,362",60.0,,,
