row_label_raw,row_label_full,Công ty TNHH Hai Pha Việt Nam,Số cuối nămVND > 10.000.000.000,Số đầu nămVND > 18.487.358.211,numeric__Số cuối nămVND > 10.000.000.000,numeric__Số đầu nămVND > 18.487.358.211
Phải trả người bán khác (i),Phải trả người bán khác (i),Phải trả người bán khác (i),79.317.474.246,100.104.726.421,79317474246.0,100104726421.0
Bên liên quan (Thuyết minh VIII.2),Bên liên quan (Thuyết minh VIII.2),Bên liên quan (Thuyết minh VIII.2),328.369.727.134,329.708.426.405,328369727134.0,329708426405.0
Cộng,Cộng,Cộng,417.687.201.380,448.300.511.037,417687201380.0,448300511037.0
