row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Cash on hand,Cash on hand,Cash on hand,"3,460,556,875","1,724,608,651",,
Cash in bank,Cash in bank,Cash in bank,"1,045,473,811,632","351,667,669,443",,
Cash equivalents (i),Cash equivalents (i),Cash equivalents (i),"2,213,916,525,805","393,461,024,424",,
- Joint Stock Commercial Bank for Investment and Development of Vietnam,- Joint Stock Commercial Bank for Investment and Development of Vietnam,- Joint Stock Commercial Bank for Investment and Development of Vietnam,"1,305,000,000,000","153,328,477,985",,
- Saigon Hanoi Commercial JSB - Vung Tau Branch,- Saigon Hanoi Commercial JSB - Vung Tau Branch,- Saigon Hanoi Commercial JSB - Vung Tau Branch,"700,000,000,000",-,,
- Military Commercial JSB - Vung Tau Branch,- Military Commercial JSB - Vung Tau Branch,- Military Commercial JSB - Vung Tau Branch,"109,899,806,306",-,,
- Orient Commercial JSB - Vung Tau Branch,- Orient Commercial JSB - Vung Tau Branch,- Orient Commercial JSB - Vung Tau Branch,"60,321,148,227","14,334,333,551",,
- Ho Chi Minh City Development Joint Stock Commercial Bank - Vung Tau Branch,- Ho Chi Minh City Development Joint Stock Commercial Bank - Vung Tau Branch,- Ho Chi Minh City Development Joint Stock Commercial Bank - Vung Tau Branch,"3,488,886,340","225,798,212,888",,
- Other banks,- Other banks,- Other banks,"35,206,684,932",-,,
Total,Total,Total,"3,262,850,894,312","746,853,302,518",,
