row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Customers of Dai Phuoc Eco-tourism Project,Customers of Dai Phuoc Eco-tourism Project,Customers of Dai Phuoc Eco-tourism Project,"765,263,220,094","2,445,956,364",,
"Customers of Block B Pullman Project, Vung Tau","Customers of Block B Pullman Project, Vung Tau","Customers of Block B Pullman Project, Vung Tau","399,661,923,851","401,461,923,851",,
Customers of Vung Tau Gateway Apartment Project,Customers of Vung Tau Gateway Apartment Project,Customers of Vung Tau Gateway Apartment Project,"173,488,003,007","190,650,046,394",,
Customers of Nam Vinh Yen New Urban Area Project (i),Customers of Nam Vinh Yen New Urban Area Project (i),Customers of Nam Vinh Yen New Urban Area Project (i),"154,078,902,089","268,357,901,964",,
"Customers of Chi Linh Centre Project, Vung Tau","Customers of Chi Linh Centre Project, Vung Tau","Customers of Chi Linh Centre Project, Vung Tau","22,636,978,041","22,850,980,041",,
Customers of Hau Giang Residential Project,Customers of Hau Giang Residential Project,Customers of Hau Giang Residential Project,"9,603,427,035","6,073,534,449",,
Others (ii),Others (ii),Others (ii),"29,943,778,534","141,435,308,263",,
Total,Total,Total,"1,554,676,232,651","1,033,275,651,326",,
In which:,In which:,In which:,In which:,In which:,,
Receivable from related parties (Note VIII.2),Receivable from related parties (Note VIII.2),Receivable from related parties (Note VIII.2),"406,080,918,584","414,616,436,966",,
