row_label_raw,row_label_full,Related parties,Relationship,numeric__Relationship
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,Subsidiaries company,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Subsidiaries company,
Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Subsidiaries company,
Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,Subsidiaries company,
DIC Vision Development Investment Joint Stock Company,DIC Vision Development Investment Joint Stock Company,DIC Vision Development Investment Joint Stock Company,Subsidiaries company,
DIC Urban and Industrial zone Development Company Limited,DIC Urban and Industrial zone Development Company Limited,DIC Urban and Industrial zone Development Company Limited,Subsidiaries company,
Vung Tau Sports Tourism Development Investment Joint Stock Company,Vung Tau Sports Tourism Development Investment Joint Stock Company,Vung Tau Sports Tourism Development Investment Joint Stock Company,Subsidiaries company (Indirect ownership),
Sports TOTO Vietnam Joint Stock Company,Sports TOTO Vietnam Joint Stock Company,Sports TOTO Vietnam Joint Stock Company,Subsidiaries company (Indirect ownership),
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,Associate company,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,Associate company,
Development Investment Construction - Concrete JSC,Development Investment Construction - Concrete JSC,Development Investment Construction - Concrete JSC,Associate company,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Associate company,
Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,Other related,
