row_label_raw,row_label_full,col_0,Số cuối năm VND,Số đầu năm VND,numeric__Số cuối năm VND,numeric__Số đầu năm VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,4.233.013.376.680,4.482.460.803.601,4233013376680.0,4482460803601.0
Tạm ứng tiền đèn bù giải phóng mặt bằng,Tạm ứng tiền đèn bù giải phóng mặt bằng,Tạm ứng tiền đèn bù giải phóng mặt bằng,3.782.464.376.032,3.712.509.405.922,3782464376032.0,3712509405922.0
Dự án Long Tân,Dự án Long Tân,Dự án Long Tân,2.636.394.302.400,2.656.873.402.400,2636394302400.0,2656873402400.0
Dự án Bắc Vũng Tàu,Dự án Bắc Vũng Tàu,Dự án Bắc Vũng Tàu,951.275.984.915,861.382.084.278,951275984915.0,861382084278.0
Dự án Chí Linh,Dự án Chí Linh,Dự án Chí Linh,140.014.270.244,140.014.270.244,140014270244.0,140014270244.0
Dự án Quảng Bình,Dự án Quảng Bình,Dự án Quảng Bình,47.429.649.000,47.429.649.000,47429649000.0,47429649000.0
Dự án Hiệp Phước,Dự án Hiệp Phước,Dự án Hiệp Phước,4.810.000.000,4.810.000.000,4810000000.0,4810000000.0
Dự án Bầu Trũng,Dự án Bầu Trũng,Dự án Bầu Trũng,2.000.000.000,2.000.000.000,2000000000.0,2000000000.0
Dự án Hậu Giang,Dự án Hậu Giang,Dự án Hậu Giang,540.169.473,,540169473.0,
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,43.890.683.682,21.518.649.693,43890683682.0,21518649693.0
Lãi phải thu,Lãi phải thu,Lãi phải thu,32.406.853.815,11.534.952.603,32406853815.0,11534952603.0
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",77.420.509.309,454.539.043.821,77420509309.0,454539043821.0
Chi hộ,Chi hộ,Chi hộ,57.082.809.045,56.659.133.285,57082809045.0,56659133285.0
Phải thu khác,Phải thu khác,Phải thu khác,239.748.144.797,225.699.618.277,239748144797.0,225699618277.0
Dài hạn,Dài hạn,Dài hạn,79.999.999.999,79.999.999.999,79999999999.0,79999999999.0
Hợp tác đầu tư phát triển dự án (i),Hợp tác đầu tư phát triển dự án (i),Hợp tác đầu tư phát triển dự án (i),,,,
Công ty CP Đầu tư Xây dựng A.T.A,Hợp tác đầu tư phát triển dự án (i) > Công ty CP Đầu tư Xây dựng A.T.A,Công ty CP Đầu tư Xây dựng A.T.A,79.999.999.999,79.999.999.999,79999999999.0,79999999999.0
Cộng,Hợp tác đầu tư phát triển dự án (i) > Cộng,Cộng,4.313.013.376.679,4.562.460.803.600,4313013376679.0,4562460803600.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu Bên liên quan (Thuyết minh VIII.2),Trong đó: > Phải thu Bên liên quan (Thuyết minh VIII.2),Phải thu Bên liên quan (Thuyết minh VIII.2),1.301.842.670.043,1.236.534.182.060,1301842670043.0,1236534182060.0
