row_label_raw,row_label_full,Các bên liên quan,Nội dung nghiệp vụ,Năm nay VND,Năm trước VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay VND,numeric__Năm trước VND
Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,Các hoạt động khác,,,
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Chi phí xây dựng,104.293.195.613,52.162.895.582,,104293195613.0,52162895582.0
Công ty CP Đầu tư Phát triển Xây dựng Số 1,Các hoạt động khác > Công ty CP Đầu tư Phát triển Xây dựng Số 1,Công ty CP Đầu tư Phát triển Xây dựng Số 1,Bán tài sản,-,2.657.888.640,,,2657888640.0
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Chi phí xây dựng,70.313.395.535,45.681.744.837,,70313395535.0,45681744837.0
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Cổ tức bằng tiền,1.100.675.200,-,,1100675200.0,
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Cổ tức cổ phiếu,1.651.010.000,-,,1651010000.0,
Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Các hoạt động khác > Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển - Xây dựng (DIC) Số 2,Mua cổ phần phát hành thêm,-,17.150.000.000,,,17150000000.0
Công ty CP Gạch men Anh Em DIC,Các hoạt động khác > Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Lãi cho vay,5.101.788.081,3.499.060.274,,5101788081.0,3499060274.0
Công ty CP Gạch men Anh Em DIC,Các hoạt động khác > Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Thu gốc vay,116.962.349,-,,116962349.0,
Công ty CP Gạch men Anh Em DIC,Các hoạt động khác > Công ty CP Gạch men Anh Em DIC,Công ty CP Gạch men Anh Em DIC,Chuyển nhượng vốn,-,33.839.211.640,,,33839211640.0
Công ty Cổ phần Du lịch DIC,Các hoạt động khác > Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Chi phí dịch vụ,2.332.571.694,4.003.255.278,,2332571694.0,4003255278.0
Công ty Cổ phần Du lịch DIC,Các hoạt động khác > Công ty Cổ phần Du lịch DIC,Công ty Cổ phần Du lịch DIC,Bán tài sản,-,108.666.672,,,108666672.0
