row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Loan receivables,Loan receivables,Loan receivables,"313,700,000,000","423,881,599,516",,
Short-term,Short-term,Short-term,"146,900,000,000","168,681,599,516",,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,"143,100,000,000","167,564,637,167",,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,"3,800,000,000","1,116,962,349",,
Long-term,Long-term,Long-term,"166,800,000,000","255,200,000,000",,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,"85,600,000,000","171,200,000,000",,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,"81,200,000,000","84,000,000,000",,
Other short-term receivables,Other short-term receivables,Other short-term receivables,"1,301,842,670,043","1,236,534,182,060",,
Mr Nguyen Hung Cuong (representative of the Board of Management),Mr Nguyen Hung Cuong (representative of the Board of Management),Mr Nguyen Hung Cuong (representative of the Board of Management),"936,013,129,500","904,000,000,000",,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,"359,464,943,417","332,485,100,810",,
Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,Brothers DIC Ceramic Joint Stock Company,"5,101,788,081",-,,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,"1,262,809,045","29,081,250",,
Dai Phuoc Thien An Company Limited,Dai Phuoc Thien An Company Limited,Dai Phuoc Thien An Company Limited,-,"20,000,000",,
Short-term trade payables,Short-term trade payables,Short-term trade payables,"328,369,727,134","329,708,426,405",,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,"255,924,067,549","243,252,056,228",,
Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,"37,769,177,594","34,294,681,628",,
Development Investment Construction Number 2 JSC,Development Investment Construction Number 2 JSC,Development Investment Construction Number 2 JSC,"30,046,006,435","44,010,821,552",,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,"4,054,713,613","5,125,226,329",,
Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,"11,309,720","182,146,263",,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,"564,452,223","2,843,494,405",,
Short-term advances from customers,Short-term advances from customers,Short-term advances from customers,"500,610,026,086","818,784,491,947",,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,"448,970,556,768","767,145,022,629",,
Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,"48,715,151,316","48,715,151,316",,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,"2,924,318,002","2,924,318,002",,
Other short-term payables,Other short-term payables,Other short-term payables,"224,926,933,855","213,797,839,976",,
DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,"101,000,000,000","101,000,000,000",,
D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,"58,683,726,158","44,636,050,000",,
DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,"65,243,207,697","64,788,789,976",,
Development Investment Construction Number 2 JSC,Development Investment Construction Number 2 JSC,Development Investment Construction Number 2 JSC,-,"3,373,000,000",,
