row_label_raw,row_label_full,col_0,Land use rights,Computer software,Unit: VND Total,numeric__Land use rights,numeric__Computer software,numeric__Unit: VND Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,
Opening balance,Opening balance,Opening balance,"3,689,239,600","1,250,168,000","4,939,407,600",,,
Purchases,Purchases,Purchases,"59,693,669",-,"59,693,669",,,
Closing balance,Closing balance,Closing balance,"3,748,933,269","1,250,168,000","4,999,101,269",,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,
Opening balance,Opening balance,Opening balance,"279,228,092","94,173,437","373,401,529",,,
Depreciation,Depreciation,Depreciation,"44,798,122","141,016,800","185,814,922",,,
Closing balance,Closing balance,Closing balance,"324,026,214","235,190,237","559,216,451",,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,
Opening,Opening,Opening,"3,410,011,508","1,155,994,563","4,566,006,071",,,
Closing,Closing,Closing,"3,424,907,055","1,014,977,763","4,439,884,818",,,
