row_label_raw,row_label_full,Mục đích sử dụng vốn,Số tiền theo phương án sử dụng vốn (VND),Số tiền đã sử dụng lũy kế đến ngày 31/12/2025 (VND),Số tiền chưa sử dụng hết tại ngày 31/12/2025 (VND),numeric__Số tiền theo phương án sử dụng vốn (VND),numeric__Số tiền đã sử dụng lũy kế đến ngày 31/12/2025 (VND),numeric__Số tiền chưa sử dụng hết tại ngày 31/12/2025 (VND)
Mục đích sử dụng vốn,Mục đích sử dụng vốn,Mục đích sử dụng vốn,(1),(2),(3) = (1) - (2),-1.0,-2.0,
Đầu tư dự án Khu phức hợp Cap Saint Jacques – Giai đoạn 3: Khối căn hộ du lịch và khách sạn (C4),Đầu tư dự án Khu phức hợp Cap Saint Jacques – Giai đoạn 3: Khối căn hộ du lịch và khách sạn (C4),Đầu tư dự án Khu phức hợp Cap Saint Jacques – Giai đoạn 3: Khối căn hộ du lịch và khách sạn (C4),600.000.000.000,22.175.778.100,577.824.221.900,600000000000.0,22175778100.0,577824221900.0
Đầu tư dự án Khu dân cư thương mại Vị Thanh,Đầu tư dự án Khu dân cư thương mại Vị Thanh,Đầu tư dự án Khu dân cư thương mại Vị Thanh,600.000.000.000,43.982.467.841,556.017.532.159,600000000000.0,43982467841.0,556017532159.0
Thanh toán mua lại trái phiếu,Thanh toán mua lại trái phiếu,Thanh toán mua lại trái phiếu,599.564.260.000,599.564.260.000,-,599564260000.0,599564260000.0,
Cộng,Cộng,Cộng,1.799.564.260.000,665.722.505.941,1.133.841.754.059,1799564260000.0,665722505941.0,1133841754059.0
