row_label_raw,row_label_full,Khách hàng Dự án Khu đô thị mới Nam Vĩnh Yên,Số cuối năm VND > 1.410.198.944.215,Số đầu năm VND > 1.273.246.165.450,numeric__Số cuối năm VND > 1.410.198.944.215,numeric__Số đầu năm VND > 1.273.246.165.450
Khách hàng Dự án chung cư A2-1 Vũng Tàu Center Point,Khách hàng Dự án chung cư A2-1 Vũng Tàu Center Point,Khách hàng Dự án chung cư A2-1 Vũng Tàu Center Point,1.309.216.660.435,843.390.510.337,1309216660435.0,843390510337.0
Khách hàng Dự án Khu dân cư Thương mại Vị Thanh,Khách hàng Dự án Khu dân cư Thương mại Vị Thanh,Khách hàng Dự án Khu dân cư Thương mại Vị Thanh,186.630.459.490,129.288.849.766,186630459490.0,129288849766.0
Khách hàng Dự án Khu trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Khu trung tâm Chí Linh - Vũng Tàu,Khách hàng Dự án Khu trung tâm Chí Linh - Vũng Tàu,54.100.278.152,57.792.277.689,54100278152.0,57792277689.0
Khách hàng Dự án Du lịch Đô thị Sinh thái Đại Phước,Khách hàng Dự án Du lịch Đô thị Sinh thái Đại Phước,Khách hàng Dự án Du lịch Đô thị Sinh thái Đại Phước,28.048.549.156,49.315.242.992,28048549156.0,49315242992.0
Khách hàng Dự án Khu phúc hợp Cap Saint Jacques,Khách hàng Dự án Khu phúc hợp Cap Saint Jacques,Khách hàng Dự án Khu phúc hợp Cap Saint Jacques,15.876.448.226,35.299.528.472,15876448226.0,35299528472.0
Khách hàng Dự án Khu dân cư Hiệp Phước,Khách hàng Dự án Khu dân cư Hiệp Phước,Khách hàng Dự án Khu dân cư Hiệp Phước,19.887.545.410,31.334.403.113,19887545410.0,31334403113.0
Khách hàng các dự án khác,Khách hàng các dự án khác,Khách hàng các dự án khác,36.410.786.050,36.985.515.999,36410786050.0,36985515999.0
Cộng,Cộng,Cộng,3.060.369.671.134,2.456.652.493.818,3060369671134.0,2456652493818.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),Trong đó: > Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),Người mua trả tiền trước là Bên liên quan (Thuyết minh VIII.2),500.610.026.086,818.784.491.947,500610026086.0,818784491947.0
