row_label_raw,row_label_full,col_0,Contributed capital,Share premium,Investment and development funds,Profit after tax retained,Unit: VND Tổng cộng,numeric__Contributed capital,numeric__Share premium,numeric__Investment and development funds,numeric__Profit after tax retained,numeric__Unit: VND Tổng cộng
Beginning balance of previous year (i),Beginning balance of previous year (i),Beginning balance of previous year (i),"6,098,519,950,000","1,046,337,538,421","82,002,783,070","376,318,091,441","7,603,178,362,932",,,,,
Profit of the previous year,Profit of the previous year,Profit of the previous year,,,,"264,748,730,362","264,748,730,362",,,,,
Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,,,,"(9,282,443,339)","(9,282,443,339)",,,,,
Ending balance of previous year,Ending balance of previous year,Ending balance of previous year,"6,098,519,950,000","1,046,337,538,421","82,002,783,070","631,784,378,464","7,858,644,649,955",,,,,
Stock dividend,Stock dividend,Stock dividend,"365,791,960,000",,,"(365,791,960,000)",-,,,,,
Offering of shares to existing shareholders (ii),Offering of shares to existing shareholders (ii),Offering of shares to existing shareholders (ii),"1,500,000,000,000","299,564,260,000",,-,"1,799,564,260,000",,,,,
Profit of the current year,Profit of the current year,Profit of the current year,,,,"632,030,973,390","632,030,973,390",,,,,
Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,Transfer to bonus and welfare fund,,,,"(13,237,436,518)","(13,237,436,518)",,,,,
Ending balance of current year,Ending balance of current year,Ending balance of current year,"7,964,311,910,000","1,345,901,798,421","82,002,783,070","884,785,955,336","10,277,002,446,827",,,,,
