row_label_raw,row_label_full,col_0,"Buildings, structures",Machinery and equipment,Means of transport,Management equipment,Others,Unit: VND Total,"numeric__Buildings, structures",numeric__Machinery and equipment,numeric__Means of transport,numeric__Management equipment,numeric__Others,numeric__Unit: VND Total
Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,Original cost,,,,,,
Opening balance,Opening balance,Opening balance,"120,823,677,440","11,100,421,213","38,031,889,543","17,078,118,089","1,005,398,182","188,039,504,467",,,,,,
Purchases,Purchases,Purchases,-,-,-,"378,784,545",-,"378,784,545",,,,,,
"Liquidating, disposing","Liquidating, disposing","Liquidating, disposing",-,-,"(1,405,844,545)","(218,073,279)",-,"(1,623,917,824)",,,,,,
Closing balance,Closing balance,Closing balance,"120,823,677,440","11,100,421,213","36,626,044,998","17,238,829,355","1,005,398,182","186,794,371,188",,,,,,
Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,Accumulated depreciation,,,,,,
Opening balance,Opening balance,Opening balance,"17,766,441,195","6,105,258,925","19,463,371,003","7,100,603,061","390,505,603","50,826,179,787",,,,,,
Depreciation,Depreciation,Depreciation,"3,683,549,544","728,901,199","3,692,573,425","2,041,758,982","144,093,180","10,290,876,330",,,,,,
"Liquidating, disposing","Liquidating, disposing","Liquidating, disposing",-,-,"(1,382,729,650)","(218,073,279)",-,"(1,600,802,929)",,,,,,
Closing balance,Closing balance,Closing balance,"21,449,990,739","6,834,160,124","21,773,214,778","8,924,288,764","534,598,783","59,516,253,188",,,,,,
Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,Net book value,,,,,,
Opening,Opening,Opening,"103,057,236,245","4,995,162,288","18,568,518,540","9,977,515,028","614,892,579","137,213,324,680",,,,,,
Closing,Closing,Closing,"99,373,686,701","4,266,261,089","14,852,830,220","8,314,540,591","470,799,399","127,278,118,000",,,,,,
