row_label_raw,row_label_full,col_0,col_1,Beginning of year VND,Increase VND,Decrease VND,End of year VND,numeric__col_1,numeric__Beginning of year VND,numeric__Increase VND,numeric__Decrease VND,numeric__End of year VND
Short-term loan,Short-term loan,Short-term loan,Short-term loan,"1,276,577,657,669","1,105,297,963,882","1,426,189,330,037","955,686,291,514",,,,,
Loans from banks (Note 19.1),Loans from banks (Note 19.1),Loans from banks (Note 19.1),Loans from banks (Note 19.1),"358,726,983,381","283,755,901,644","489,620,593,511","152,862,291,514",,,,,
Current portion of long-term loans (Note 19.2),Current portion of long-term loans (Note 19.2),Current portion of long-term loans (Note 19.2),Current portion of long-term loans (Note 19.2),"917,850,674,288","221,542,062,238","936,568,736,526","202,824,000,000",,,,,
Common bonds due for payment (Note 19.3),Common bonds due for payment (Note 19.3),Common bonds due for payment (Note 19.3),Common bonds due for payment (Note 19.3),-,"600,000,000,000",-,"600,000,000,000",,,,,
Long-term loan,Long-term loan,Long-term loan,Long-term loan,"1,763,888,708,629","401,372,518,679","1,739,304,409,952","425,956,817,356",,,,,
Loans from banks (Note 19.2),Loans from banks (Note 19.2),Loans from banks (Note 19.2),Loans from banks (Note 19.2),"201,356,060,227","403,872,518,679","372,467,149,678","232,761,429,228",,,,,
Common bonds (Note 19.3),Common bonds (Note 19.3),Common bonds (Note 19.3),Common bonds (Note 19.3),"1,562,532,648,402","(2,500,000,000)","1,366,837,260,274","193,195,388,128",,,,,
Total,Total,Total,Total,"3,040,466,366,298","1,506,670,482,561","3,165,493,739,989","1,381,643,108,870",,,,,
19.1. Details of short-term loans are as follows:,19.1. Details of short-term loans are as follows:,19.1. Details of short-term loans are as follows:,19.1. Details of short-term loans are as follows:,19.1. Details of short-term loans are as follows:,19.1. Details of short-term loans are as follows:,19.1. Details of short-term loans are as follows:,19.1. Details of short-term loans are as follows:,,,,,
Objects,Objects,Objects,End of year VND,Interest rate (%/year),Collaterals,Collaterals,Collaterals,,,,,
Vietnam Bank for Agriculture and Rural Development – Dong Nai Branch,Objects > Vietnam Bank for Agriculture and Rural Development – Dong Nai Branch,Vietnam Bank for Agriculture and Rural Development – Dong Nai Branch,"90,000,000,000",7.5%,"- 12,996.8 m2 of residential land under LURC and ownership of houses and other land-attached assets No. BN981924 issued by the People's Committee of Ba Ria - Vung Tau Province on May 20th, 2014 with total collateral value equal 378,342,151,000 VND.","- 12,996.8 m2 of residential land under LURC and ownership of houses and other land-attached assets No. BN981924 issued by the People's Committee of Ba Ria - Vung Tau Province on May 20th, 2014 with total collateral value equal 378,342,151,000 VND.","- 12,996.8 m2 of residential land under LURC and ownership of houses and other land-attached assets No. BN981924 issued by the People's Committee of Ba Ria - Vung Tau Province on May 20th, 2014 with total collateral value equal 378,342,151,000 VND.",,0.75,,,
Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,Joint Stock Commercial Bank for Investment & Development of Vietnam – Ba Ria - Vung Tau Branch,"62,862,291,514",8%-8.5%,"- 05 land plots of the Vi Thanh Commercial Residential Area Project, Hau Giang.","- 05 land plots of the Vi Thanh Commercial Residential Area Project, Hau Giang.","- 05 land plots of the Vi Thanh Commercial Residential Area Project, Hau Giang.",,,,,
Total,Total,Total,"152,862,291,514",,,,,,,,,
