row_label_raw,row_label_full,col_0,End of year,End of year_1,End of year_2,Beginning of year,Beginning of year_1,Beginning of year_2,numeric__End of year,numeric__End of year_1,numeric__End of year_2,numeric__Beginning of year,numeric__Beginning of year_1,numeric__Beginning of year_2
,,,%,Original cost VND,Provision VND,%,Original cost VND,Provision VND,,,,,,
Investments in subsidiaries,Investments in subsidiaries,Investments in subsidiaries,,"1,579,860,721,322","(242,573,781,832)",,"3,051,307,053,422","(95,312,704,648)",,,,,,
DIC Hospitality Joint Stock Company,Investments in subsidiaries > DIC Hospitality Joint Stock Company,DIC Hospitality Joint Stock Company,99.36,"1,365,590,236,388","(181,442,082,619)",81.29,"944,498,221,388","(46,805,359,931)",9936.0,,,8129.0,,
Dai Phuoc Thien An Company Limited,Investments in subsidiaries > Dai Phuoc Thien An Company Limited,Dai Phuoc Thien An Company Limited,-,-,-,99.96,"1,133,538,347,100",-,,,,9996.0,,
Dai Phuoc Thien Minh Company Limited,Investments in subsidiaries > Dai Phuoc Thien Minh Company Limited,Dai Phuoc Thien Minh Company Limited,-,-,-,99.99,"759,000,000,000",-,,,,9999.0,,
DIC Vision Development Investment Joint Stock Company,Investments in subsidiaries > DIC Vision Development Investment Joint Stock Company,DIC Vision Development Investment Joint Stock Company,98.67,"59,200,000,000","(8,488,343,920)",98.67,"59,200,000,000","(6,618,243,129)",9867.0,,,9867.0,,
DIC Urban and Industrial zone Development Company Limited,Investments in subsidiaries > DIC Urban and Industrial zone Development Company Limited,DIC Urban and Industrial zone Development Company Limited,100.00,"50,000,000,000","(11,232,566,933)",100.00,"50,000,000,000","(478,313,228)",10000.0,,,10000.0,,
Development Investment Construction Number 2 Joint Stock Company,Investments in subsidiaries > Development Investment Construction Number 2 Joint Stock Company,Development Investment Construction Number 2 Joint Stock Company,50.14,"48,932,796,574",-,50.14,"48,932,796,574",-,5014.0,,,5014.0,,
Brothers DIC Ceramic Joint Stock Company (i),Investments in subsidiaries > Brothers DIC Ceramic Joint Stock Company (i),Brothers DIC Ceramic Joint Stock Company (i),49.00,"41,410,788,360","(41,410,788,360)",49.00,"41,410,788,360","(41,410,788,360)",4900.0,,,4900.0,,
Development Investment Construction Number 1 JSC,Investments in subsidiaries > Development Investment Construction Number 1 JSC,Development Investment Construction Number 1 JSC,51.68,"14,726,900,000",-,51.68,"14,726,900,000",-,5168.0,,,5168.0,,
Investments in associates,Investments in associates,Investments in associates,,"479,588,885,227","(225,400,000,000)",,"447,522,688,500","(225,400,000,000)",,,,,,
Southern Development Investment Joint Stock Company,Investments in associates > Southern Development Investment Joint Stock Company,Southern Development Investment Joint Stock Company,43.35,"225,400,000,000","(225,400,000,000)",43.35,"225,400,000,000","(225,400,000,000)",4335.0,,,4335.0,,
DICERA Holdings Joint Stock Company,Investments in associates > DICERA Holdings Joint Stock Company,DICERA Holdings Joint Stock Company,25.33,"203,668,381,227",-,35.89,"171,602,184,500",-,2533.0,,,3589.0,,
Development Investment Construction - Concrete JSC,Investments in associates > Development Investment Construction - Concrete JSC,Development Investment Construction - Concrete JSC,36.00,"30,582,504,000",-,42.68,"30,582,504,000",-,3600.0,,,4268.0,,
D.I.C Real Estate Joint Stock Company,Investments in associates > D.I.C Real Estate Joint Stock Company,D.I.C Real Estate Joint Stock Company,42.68,"19,938,000,000",-,36.00,"19,938,000,000",-,4268.0,,,3600.0,,
Investments in other entities,Investments in other entities,Investments in other entities,,"1,769,594,112",-,,"1,769,594,112",-,,,,,,
Vina Dai Phuoc Corporation,Investments in other entities > Vina Dai Phuoc Corporation,Vina Dai Phuoc Corporation,0.10,"1,610,000,000",-,0.10,"1,610,000,000",-,10.0,,,10.0,,
Development Investment Construction Hoi An JSC,Investments in other entities > Development Investment Construction Hoi An JSC,Development Investment Construction Hoi An JSC,0.27,"159,594,112",-,0.27,"159,594,112",-,27.0,,,27.0,,
Total,Total,Total,,"2,061,219,200,661","(467,973,781,832)",,"3,500,599,336,034","(320,712,704,648)",,,,,,
