row_label_raw,row_label_full,col_0,End of year VND,Beginning of year VND,numeric__End of year VND,numeric__Beginning of year VND
Short-term,Short-term,Short-term,"2,134,037,217,185","2,931,825,483,579",,
Deposit for sales of project,Deposit for sales of project,Deposit for sales of project,"1,520,792,777,500","2,365,627,002,500",,
Deposit,Deposit,Deposit,"307,720,594,658","290,324,944,800",,
Profit sharing from BCC,Profit sharing from BCC,Profit sharing from BCC,"136,388,584,457","136,388,584,457",,
Registration fee and maintenance fund (i),Registration fee and maintenance fund (i),Registration fee and maintenance fund (i),"40,702,543,903","32,308,365,792",,
Compensation payables,Compensation payables,Compensation payables,"48,878,506,194","19,990,483,579",,
Dividend,Dividend,Dividend,"1,026,563,802","1,026,563,802",,
Others,Others,Others,"78,527,646,671","86,159,538,649",,
Long-term,Long-term,Long-term,"1,119,952,234","19,596,218,672",,
Capital contribution from Business Cooperation contracts (ii),Capital contribution from Business Cooperation contracts (ii),Capital contribution from Business Cooperation contracts (ii),"1,119,952,234","19,596,218,672",,
Total,Total,Total,"2,135,157,169,419","2,951,421,702,251",,
In which:,In which:,In which:,In which:,In which:,,
Payables to related parties (Note VIII.2),Payables to related parties (Note VIII.2),Payables to related parties (Note VIII.2),"224,926,933,855","213,797,839,976",,
