row_label_raw,row_label_full,ASSETS,Code,Note,End of year,Beginning of year,numeric__Code,numeric__Note,numeric__End of year,numeric__Beginning of year
A. CURRENT ASSETS,A. CURRENT ASSETS,A. CURRENT ASSETS,100,,"16,067,771,930,224","13,563,530,667,855",100.0,,,
I. Cash and cash equivalents,I. Cash and cash equivalents,I. Cash and cash equivalents,110,V.1,"3,262,850,894,312","746,853,302,518",110.0,,,
1. Cash,1. Cash,1. Cash,111,,"1,048,934,368,507","353,392,278,094",111.0,,,
2. Cash equivalents,2. Cash equivalents,2. Cash equivalents,112,,"2,213,916,525,805","393,461,024,424",112.0,,,
II. Short-term investments,II. Short-term investments,II. Short-term investments,120,,"240,000,000,000","856,900,000,000",120.0,,,
1. Held-to-maturity investments,1. Held-to-maturity investments,1. Held-to-maturity investments,123,V.2,"240,000,000,000","856,900,000,000",123.0,,,
III. Short-term accounts receivables,III. Short-term accounts receivables,III. Short-term accounts receivables,130,,"5,940,889,293,886","5,694,657,217,812",130.0,,,
1. Short-term trade receivables,1. Short-term trade receivables,1. Short-term trade receivables,131,V.3,"1,554,676,232,651","1,033,275,651,326",131.0,,,
2. Short-term advances to suppliers,2. Short-term advances to suppliers,2. Short-term advances to suppliers,132,V.4,"6,431,154,111","10,370,632,925",132.0,,,
3. Short-term loan receivables,3. Short-term loan receivables,3. Short-term loan receivables,135,V.5,"146,900,000,000","168,681,599,516",135.0,,,
4. Other short-term receivables,4. Other short-term receivables,4. Other short-term receivables,136,V.6,"4,233,013,376,680","4,482,460,803,601",136.0,,,
5. Provision for doubtful short-term receivables,5. Provision for doubtful short-term receivables,5. Provision for doubtful short-term receivables,137,V.7,"(131,469,556)","(131,469,556)",137.0,,,
IV. Inventories,IV. Inventories,IV. Inventories,140,V.8,"6,416,272,690,580","6,072,894,379,906",140.0,,,
1. Inventories,1. Inventories,1. Inventories,141,,"6,416,272,690,580","6,072,894,379,906",141.0,,,
V. Other current assets,V. Other current assets,V. Other current assets,150,,"207,759,051,446","192,225,767,619",150.0,,,
1. Short-term prepaid expenses,1. Short-term prepaid expenses,1. Short-term prepaid expenses,151,V.9,"177,912,638,921","166,961,832,844",151.0,,,
2. VAT deductibles,2. VAT deductibles,2. VAT deductibles,152,,-,"565,608,729",152.0,,,
3. Tax and other receivables from the State,3. Tax and other receivables from the State,3. Tax and other receivables from the State,153,V.15,"29,846,412,525","24,698,326,046",153.0,,,
B. NON-CURRENT ASSETS,B. NON-CURRENT ASSETS,B. NON-CURRENT ASSETS,200,,"2,075,863,511,678","3,784,855,168,820",200.0,,,
I. Long-term receivables,I. Long-term receivables,I. Long-term receivables,210,,"246,799,999,999","335,199,999,999",210.0,,,
1. Long-term loan receivables,1. Long-term loan receivables,1. Long-term loan receivables,215,V.5,"166,800,000,000","255,200,000,000",215.0,,,
2. Other long-term receivables,2. Other long-term receivables,2. Other long-term receivables,216,V.6,"79,999,999,999","79,999,999,999",216.0,,,
II. Fixed assets,II. Fixed assets,II. Fixed assets,220,,"131,718,002,818","141,779,330,751",220.0,,,
1. Tangible fixed assets,1. Tangible fixed assets,1. Tangible fixed assets,221,V.10,"127,278,118,000","137,213,324,680",221.0,,,
- Cost,- Cost,- Cost,222,,"186,794,371,188","188,039,504,467",222.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,223,,"(59,516,253,188)","(50,826,179,787)",223.0,,,
2. Intangible fixed assets,2. Intangible fixed assets,2. Intangible fixed assets,227,V.11,"4,439,884,818","4,566,006,071",227.0,,,
- Cost,- Cost,- Cost,228,,"4,999,101,269","4,939,407,600",228.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,229,,"(559,216,451)","(373,401,529)",229.0,,,
III. Investment properties,III. Investment properties,III. Investment properties,230,V.12,"95,100,090,032","97,989,206,684",230.0,,,
- Cost,- Cost,- Cost,231,,"144,455,832,878","144,455,832,878",231.0,,,
- Accumulated depreciation,- Accumulated depreciation,- Accumulated depreciation,232,,"(49,355,742,846)","(46,466,626,194)",232.0,,,
